Name,Class,IoU,Accuracy
2007_000032,aeroplane,0.08713537771129394,0.7471308594472603
2007_000032,person,0.021578648495173196,0.8597580376632505
2007_000033,aeroplane,0.40910874354872784,0.8880009153056263
2007_000039,tvmonitor,0.5462189417903588,0.9090643116432789
2007_000042,train,0.3357024118812275,0.5762901259650548
2007_000061,boat,0.17865518569078373,0.8545410589088565
2007_000063,chair,0.13821875231258787,0.4789189310124954
2007_000063,dog,0.6084251995714829,0.9366225543387066
2007_000068,bird,0.24311753614079196,0.9012659473287199
2007_000121,tvmonitor,0.13890531108542387,0.45734653817708654
2007_000123,train,0.18088977439482695,0.6246220633020049
2007_000129,bicycle,0.6084741891274554,0.8855091340213072
2007_000129,person,0.22679200940070504,0.6088434692582574
2007_000170,bottle,0.002314266929651545,0.7894669663420184
2007_000170,person,0.20053924444032808,0.5688781597713588
2007_000175,sheep,0.46361170427656256,0.8177146667712706
2007_000187,tvmonitor,0.2452964991664682,0.759467386648884
2007_000241,boat,0.0870375141198153,0.7480296442147292
2007_000243,aeroplane,0.1948173005219985,0.947664978309866
2007_000250,bottle,0.03753546410906626,0.7904180813200151
2007_000250,diningtable,0.29483360394799085,0.69844784507974
2007_000256,aeroplane,0.5230625389569915,0.9438079851166434
2007_000323,person,0.07980861766532663,0.2578729213340893
2007_000332,horse,0.27273813792279195,0.8837549907984641
2007_000333,train,0.15581225774264112,0.7287853474795174
2007_000346,bottle,0.5018354938625674,0.9518596530125825
2007_000346,person,0.03968859500395614,0.6232636771797572
2007_000363,bird,0.22641292606127467,0.7857406582214017
2007_000364,motorbike,0.4558058925476603,0.7879541715967793
2007_000364,person,0.08283528367903839,0.6837897896164613
2007_000392,horse,0.2810361681329423,0.9299485686295853
2007_000392,person,0.057373670760860605,0.7666199521062371
2007_000452,chair,0.0,0.6340412501913781
2007_000452,sofa,0.1271025555924328,0.640477023687146
2007_000464,cow,0.6041711770224435,0.9701673565068885
2007_000480,aeroplane,0.14126540028469053,0.7994727491546794
2007_000480,person,0.1594693546163391,0.6855464496532753
