Name,Class,IoU,Accuracy
2007_000032,aeroplane,0.04512582024553176,0.2828887491213141
2007_000032,person,0.01024052219568148,0.3806652114395649
2007_000033,aeroplane,0.33951088821725506,0.6587054146048454
2007_000039,tvmonitor,0.19554792725748127,0.33468060898304164
2007_000042,train,0.7059254182373282,0.7602727549776513
2007_000061,boat,0.09528580122653434,0.4010054736946509
2007_000063,chair,0.44468796573446717,0.5039880080095757
2007_000063,dog,0.24785470456217112,0.5538688711644089
2007_000068,bird,0.2547536455322156,0.7463459162813071
2007_000121,tvmonitor,0.45244530716579107,0.46041049195642625
2007_000123,train,0.3968595748967462,0.4762303103864932
2007_000129,bicycle,0.27405333246507996,0.4043081855525498
2007_000129,person,0.4514503321989953,0.5477941422035201
2007_000170,bottle,0.013940120082927223,0.18703071672354948
2007_000170,person,0.47995995699084204,0.5329726130025806
2007_000175,sheep,0.6724326570182121,0.8453693170674302
2007_000187,tvmonitor,0.30112661344475117,0.3905957744417156
2007_000241,boat,0.05595205070654595,0.3857685891650942
2007_000243,aeroplane,0.04693675889328063,0.7428810314325183
2007_000250,bottle,0.03535107222262067,0.26464815452661733
2007_000250,diningtable,0.3613310106066286,0.5249553051550788
2007_000256,aeroplane,0.21316829287960648,0.6417162370566204
2007_000323,person,0.6029098349009689,0.6153952011097228
2007_000332,horse,0.16805217544958756,0.340418622125714
2007_000333,train,0.36150010246601544,0.5966426444569111
2007_000346,bottle,0.14722396772951168,0.5336178704062968
2007_000346,person,0.2302196734059098,0.38543872290892967
2007_000363,bird,0.3798488333881038,0.6996753453434337
2007_000364,motorbike,0.42238535334574123,0.582632535857551
2007_000364,person,0.045266248569629124,0.37877694727424893
2007_000392,horse,0.22004813032210294,0.7133653532165016
2007_000392,person,0.0370609444593012,0.289593991509742
2007_000452,chair,0.015752989290126047,0.10251853633997507
2007_000452,sofa,0.15617523585970297,0.18229041359550316
2007_000464,cow,0.30335936531548285,0.847170929897367
2007_000480,aeroplane,0.33230088968161575,0.641721588629721
2007_000480,person,0.2527828779067534,0.4425697747721932
2007_000491,cow,0.40031153776489764,0.4904551134859612
2007_000504,cow,0.2056616477522224,0.5931111355479801
2007_000504,person,0.032667294347386404,0.3067099199248233
2007_000515,bicycle,0.0023852237071079665,0.18727694699275282
2007_000515,car,0.013820895293694025,0.29540976069012326
2007_000515,person,0.01487717975949844,0.370421255446325
2007_000528,cat,0.268051393051393,0.7121317952132014
2007_000529,boat,0.09249506777827277,0.234577758692414
2007_000529,car,0.0034552666372851476,0.2414149411559468
2007_000549,cat,0.7566322039456651,0.7701686516560897
2007_000559,bottle,0.02868596613942854,0.28284168906461715
2007_000559,tvmonitor,0.23558154583003246,0.2980463804171572
2007_000572,bicycle,0.06113715325649369,0.44047642523318414
2007_000584,bicycle,0.26703758453319054,0.6320691327439834
2007_000584,sofa,0.14042016345784653,0.3590555597754004
2007_000629,person,0.001105379513633014,0.2632951982390826
2007_000629,train,0.3916248153618907,0.6269192097611348
2007_000636,train,0.28491562879597243,0.3947415688581958
2007_000645,bird,0.4465218793678099,0.7140770362964814
2007_000648,aeroplane,0.028991845474010295,0.32778902618250166
2007_000648,bus,0.3832560657254861,0.5544370225998322
2007_000648,car,0.001309308560384064,0.39379718810906955
2007_000648,person,0.0,0.4936010243407068
2007_000661,chair,0.0022805432059827867,0.09025196885231396
2007_000661,pottedplant,0.011037425931042953,0.28741925493319176
2007_000661,sofa,0.08125531598914526,0.24729559331032652
2007_000663,bus,0.6173175583708512,0.619885502609867
2007_000663,car,0.04606003315204005,0.2903439874013252
2007_000676,sheep,0.4495295303704948,0.7133215930345755
2007_000713,boat,0.3107574544167769,0.5477541992288939
2007_000720,dog,0.37321241716079523,0.9233712040449575
2007_000727,bus,0.08073128187374336,0.23517160392617376
2007_000727,car,0.04044139730047452,0.38057518888618086
2007_000727,person,0.012260839471992881,0.22532847362240488
2007_000733,motorbike,0.2554863949040881,0.4471096471096471
2007_000733,person,0.2264904590233821,0.5492939492939493
2007_000738,aeroplane,0.5308431580711851,0.7911227478808157
2007_000762,bottle,0.10314485676855284,0.242358065680687
2007_000762,diningtable,0.3416003953812284,0.5663701625742
2007_000762,person,0.23568423620917836,0.38819546780770436
2007_000768,bus,0.641139277521818,0.6959700506496367
2007_000783,horse,0.17239560861019224,0.39889669306379083
2007_000783,person,0.04546190532265662,0.35485395359942695
2007_000793,bicycle,0.02768767377201112,0.600903471231574
2007_000793,bus,0.021913692643845593,0.36143009985734664
2007_000793,person,0.10476252464016067,0.42771635758440324
2007_000799,horse,0.3793654026312574,0.6410874880458286
2007_000799,person,0.16861220005493271,0.37256500007066506
2007_000804,chair,0.0848594132448424,0.1723034564869591
2007_000804,sofa,0.10687064534162338,0.18762014609765476
2007_000822,motorbike,0.18303141757184105,0.47251582691101973
2007_000830,chair,0.048814923656807,0.15834845478544496
2007_000830,diningtable,0.0645598933358284,0.3218071124527278
2007_000836,horse,0.15351785066473186,0.46097295828237533
2007_000836,person,0.06325467361323935,0.27312814241065364
2007_000837,boat,0.03773171217859279,0.6439013955684064
2007_000847,diningtable,0.23066094650757474,0.496468213925328
2007_000847,person,0.2002895717957071,0.3941780371166586
2007_000862,boat,0.005414356685146519,0.6303505485683704
2007_000862,person,0.0021073245492666936,0.7491035590045491
2007_000876,cat,0.4598218368728164,0.6329227212271128
2007_000904,cow,0.037959829426987834,0.4851465162440704
2007_000904,horse,0.06221702153695546,0.31246145047156587
2007_000904,person,0.12001248439450686,0.6047650020746655
2007_000925,sheep,0.4614001205767246,0.6845057102497186
2007_000999,bottle,0.008277684107112037,0.17642486618192643
2007_000999,person,0.5213855876453206,0.633027017193762
2007_001027,bicycle,0.00212427637953738,0.5367798858197336
2007_001027,chair,0.026338158376402996,0.09504642177498414
2007_001027,sofa,0.0489260295677285,0.14154893028083732
2007_001027,tvmonitor,0.018824400172700918,0.08264805951213886
2007_001073,cow,0.35343796023564067,0.8404513267803502
2007_001149,pottedplant,0.068,0.3561065479388961
2007_001149,sofa,0.16071233825803016,0.22746839404550312
2007_001149,tvmonitor,0.029547460817135527,0.31190249836139144
2007_001154,pottedplant,0.0032797888731255624,0.2933032648138834
2007_001154,sofa,0.12977964159199834,0.2772847477975891
2007_001175,person,0.0472465387719625,0.28498306009837787
2007_001175,tvmonitor,0.0289187790998448,0.25034445575989933
2007_001185,bottle,0.03050633184165727,0.25134372070577926
2007_001185,cat,0.03042808298447844,0.1867896584813876
2007_001185,diningtable,0.28131800931671436,0.5567191582123661
2007_001185,person,0.21988128259964285,0.386919454413339
2007_001225,dog,0.3626181630926546,0.8111952495096971
2007_001239,dog,0.6052272152432341,0.8688432752207234
2007_001284,person,0.4928225199633689,0.5079954279506128
2007_001288,aeroplane,0.1285872233309459,0.22097548239506665
2007_001289,bird,0.10122769310928748,0.6357150870801903
2007_001299,cow,0.27613465327149694,0.4095158239377923
2007_001311,bicycle,0.11119300740535197,0.27122187066728287
2007_001311,person,0.14586096622209926,0.2536812542216218
2007_001321,car,0.6441077513233182,0.6937578756492608
2007_001340,chair,0.07352225811682238,0.1589177131339667
2007_001340,dog,0.07695784048738517,0.3986842254254753
2007_001340,person,0.18128071511874827,0.31240021287919106
2007_001377,aeroplane,0.00488733992543362,0.32268812992701534
2007_001397,dog,0.17635184327222186,0.8483801795874606
