Name,Class,IoU,Accuracy
2007_000032,aeroplane,0.06453558504221954,0.5294609493506974
2007_000032,person,0.010221055374070585,0.6345628769099856
2007_000033,aeroplane,0.3433576257792607,0.743308257772947
2007_000039,tvmonitor,0.3213078650705392,0.6627241696917159
2007_000042,train,0.842154766994442,0.8945169646485168
2007_000061,boat,0.11822433575217864,0.5126366099047217
2007_000063,chair,0.023039626699719297,0.40042285190115556
2007_000063,dog,0.3164400210975302,0.6665510722316065
2007_000068,bird,0.21984739144233026,0.6909470554152591
2007_000121,tvmonitor,0.0741332558589967,0.1493885994227978
2007_000123,train,0.00077309100773091,0.5971973909382672
2007_000129,bicycle,0.20846799237838579,0.4977791136492669
2007_000129,person,0.5694512967531169,0.784330227432121
2007_000170,bottle,0.007153669106517096,0.4685535114736813
2007_000170,person,0.5490022971938201,0.7221732012541968
2007_000175,sheep,0.9265089959373186,0.9735090678486905
2007_000187,tvmonitor,0.376886160549986,0.5410384442311967
2007_000241,boat,0.06775334195774041,0.4087893455848169
2007_000243,aeroplane,0.9971291866028709,0.999963647820081
2007_000250,bottle,0.09269880932099116,0.7379542609085492
2007_000250,diningtable,0.31461392008791095,0.7067416774645038
2007_000256,aeroplane,0.43459743290548425,0.8813860125823113
2007_000323,person,0.0018676700815732374,0.199832660857503
2007_000332,horse,0.0,0.8536732913480091
2007_000333,train,0.3117194299083378,0.6245815635191202
2007_000346,bottle,0.25870781669830156,0.833313009256693
2007_000346,person,0.33421549679346396,0.663937697466881
2007_000363,bird,0.6783989449860104,0.8851231777961678
2007_000364,motorbike,0.5998101687231722,0.8369513145363771
2007_000364,person,0.0554065645324155,0.49786153357767454
2007_000392,horse,0.15671945298797693,0.5486080875149668
2007_000392,person,0.05305820692568682,0.5120278654620659
2007_000452,chair,0.0262584462836352,0.46732901730058396
2007_000452,sofa,0.1253011862103052,0.3806839307976641
2007_000464,cow,0.6416666666666667,0.9632816451737473
2007_000480,aeroplane,0.32136697920589924,0.8037996446787782
2007_000480,person,0.28855435658983225,0.6308384434638088
2007_000491,cow,0.27132892692881727,0.41091952254021413
2007_000504,cow,0.75951063461871,0.9721936199778068
2007_000504,person,0.05337891737891738,0.5847987123991563
2007_000515,bicycle,0.006772095152705977,0.7150066779059838
2007_000515,car,0.024094645748883457,0.48210649617936197
2007_000515,person,0.009546746781542128,0.5632977908173319
2007_000528,cat,0.6486647992530346,0.9486668776670631
2007_000529,boat,0.14214959177619274,0.5537379728659805
2007_000529,car,0.0028744684202236573,0.49027093761322615
2007_000549,cat,0.6966128338797227,0.7546237937929235
2007_000559,bottle,0.04599954996946221,0.8351918079033297
2007_000559,tvmonitor,0.2927707458449163,0.46879650814100715
2007_000572,bicycle,0.005021604577834871,0.7759854863836249
2007_000584,bicycle,0.31357430573095996,0.6983038171417887
2007_000584,sofa,0.1732019947287586,0.49044984195058106
2007_000629,person,0.0,0.442185928965461
2007_000629,train,0.6376960899086865,0.8598331476398815
2007_000636,train,0.4357256658261513,0.7214084419807376
2007_000645,bird,0.7349538641650107,0.904435002360521
2007_000648,aeroplane,0.03638276220857773,0.46842141780359653
2007_000648,bus,0.5611956494309436,0.7806434928504299
2007_000648,car,0.002791162298742508,0.5718331535691084
2007_000648,person,0.0,0.7429308506947729
2007_000661,chair,0.0027594722044538326,0.2585003539509778
2007_000661,pottedplant,0.026457302645730263,0.6996283514733209
2007_000661,sofa,0.08519398761595141,0.36350212370586676
2007_000663,bus,0.3321877038064576,0.36105305904143103
2007_000663,car,0.10171776235495564,0.7557867733724236
2007_000676,sheep,0.7369286926122051,0.9160441026875075
2007_000713,boat,0.706343231562805,0.9356474664092239
2007_000720,dog,0.5010952902519168,0.9556029362492766
2007_000727,bus,0.13280444982442802,0.5198413577648284
2007_000727,car,0.0499888031595448,0.48302240046086015
2007_000727,person,0.016749804617774477,0.43551835685640217
2007_000733,motorbike,0.4876214952632226,0.7976023976023976
2007_000733,person,0.4202118940827609,0.7898911898911899
2007_000738,aeroplane,0.7396861706396982,0.9193186270546604
2007_000762,bottle,0.14626760009439158,0.4861305920020832
2007_000762,diningtable,0.6001256415739948,0.8229438536062829
2007_000762,person,0.4711228670299511,0.8426161011783226
2007_000768,bus,0.6148911830552962,0.6979024443955076
2007_000783,horse,0.001100559451054286,0.4040401528114927
2007_000783,person,0.07637334784060139,0.6284074177245413
2007_000793,bicycle,0.013028132461330841,0.7739538754160723
2007_000793,bus,0.035581385625287454,0.7257964812173086
2007_000793,person,0.033236509887163444,0.6913873038516405
2007_000799,horse,0.5112381167949298,0.7965458922405062
2007_000799,person,0.3756832755177126,0.7761660911390735
2007_000804,chair,0.1025398798425523,0.3284158698267416
2007_000804,sofa,0.1257935839092084,0.32457739579070083
2007_000822,motorbike,0.16333839476065584,0.3946712829646398
2007_000830,chair,0.03096887681886216,0.6449991803325024
2007_000830,diningtable,0.06569316682630619,0.4155148925105002
2007_000836,horse,0.44813638933588484,0.9137858404674548
2007_000836,person,0.10970170058544745,0.6094374235629841
2007_000837,boat,0.018785012243802624,0.7842401085769923
2007_000847,diningtable,0.47999232460995733,0.8067937524678629
2007_000847,person,0.339798703330133,0.6643706401088053
2007_000862,boat,0.4091403699673558,0.9970939256087771
2007_000862,person,0.11589008363201912,0.996039603960396
2007_000876,cat,0.0006669269308347973,0.6181742470384964
2007_000904,cow,0.06472994943810187,0.7064740778952798
2007_000904,horse,0.08106312292358804,0.5734880174047616
2007_000904,person,0.24022465330458623,0.8399479651456191
2007_000925,sheep,0.5527137765038769,0.7814303157995547
2007_000999,bottle,0.02782832987031597,0.6260094926765268
2007_000999,person,0.9646194331080931,0.9825085582928618
2007_001027,bicycle,0.004442117047978476,0.6820656248197913
2007_001027,chair,0.04382856965777975,0.46620148780347154
2007_001027,sofa,0.07136248799060599,0.39801626203794477
2007_001027,tvmonitor,0.031162254056096142,0.4528170232397209
2007_001073,cow,0.7460257559318836,0.9694269830724065
2007_001149,pottedplant,0.17376531461038502,0.6539494895217625
2007_001149,sofa,0.2209319673761687,0.44498113385808175
2007_001149,tvmonitor,0.02801211249120421,0.2740639264013794
2007_001154,pottedplant,0.006090383335892318,0.6849295066275127
2007_001154,sofa,0.14960440781275802,0.38733769218705216
2007_001175,person,6.236746912810279e-05,0.7865638957114426
2007_001175,tvmonitor,0.0787532882375047,0.7389258305211099
2007_001185,bottle,0.06904397222180915,0.6527459605176306
2007_001185,cat,0.036702120024688166,0.6277408296955342
2007_001185,diningtable,0.5328870036285583,0.847905792559476
2007_001185,person,0.3991862844818078,0.7280553352229551
2007_001225,dog,0.8337657918244077,0.9787099585966441
2007_001239,dog,0.9726530912298758,0.9937480392596244
2007_001284,person,0.5860877786262317,0.6779477835745731
2007_001288,aeroplane,0.19902765116985718,0.541177640740004
2007_001289,bird,0.9893193049577554,0.999557834577336
2007_001299,cow,0.450754106939279,0.7066445066654689
2007_001311,bicycle,0.11938207008780752,0.4459454655337908
2007_001311,person,0.28269354888281034,0.834057378506168
2007_001321,car,0.7107791789210749,0.8234932538340966
2007_001340,chair,0.0,0.6648738011391302
2007_001340,dog,0.1889185863985406,0.7835199800708842
2007_001340,person,0.2534233466149322,0.7570686082456717
2007_001377,aeroplane,0.049355227757676964,0.9434713771094108
2007_001397,dog,0.7182031142345322,0.9875421859960769
2007_001408,bottle,0.002267657992565056,0.8279672587189365
2007_001408,person,0.0,0.5333918762138568
2007_001408,pottedplant,0.0,0.6012588855914006
2007_001416,sheep,0.9094595908390162,0.9364533172167743
2007_001420,horse,0.6668124945314551,0.9759612653161712
2007_001420,person,0.07891500904159132,0.5980708410400792
2007_001420,pottedplant,0.10963389505179665,0.8008787268560895
2007_001423,person,0.40805997532660615,0.8833055830979241
2007_001430,diningtable,0.7672973442110744,0.9623642631750345
2007_001430,person,0.36229618047799866,0.6633670593255551
2007_001430,pottedplant,0.02909044013338492,0.704102143715399
2007_001430,tvmonitor,0.09342139393818465,0.7448933757060561
2007_001439,chair,0.01153619776339023,0.31623119642576014
2007_001439,diningtable,0.43545702072429215,0.5655268257992367
2007_001457,chair,0.025760810480789684,0.32190071995306324
2007_001457,sofa,0.18707701427654003,0.5488367247344728
2007_001458,sofa,0.6833919574104003,0.8978668073257198
2007_001487,boat,0.0014806348546639997,0.3823477427198766
2007_001526,person,0.6236660011706315,0.6509400285578296
2007_001568,aeroplane,0.5692501552284598,0.8472829218706499
2007_001585,bottle,0.0011457979317376318,0.5039183252234049
2007_001585,person,0.20384749277270733,0.7463288306753022
2007_001585,sofa,0.20959515701853954,0.4962745769414397
2007_001586,horse,0.19163157894736843,0.5773364961776183
2007_001586,person,0.044152643209246986,0.5048130637944225
2007_001587,bicycle,0.03836317135549872,0.9898504013950299
2007_001594,dog,0.009549003795999449,0.3718346930120001
2007_001594,person,0.028782903309877508,0.41893071875857596
2007_001594,sheep,0.37445378151260506,0.9651785046029489
2007_001595,bus,0.514219714909226,0.7712319331773555
2007_001602,bottle,0.363552040617067,0.6947928433053769
2007_001609,chair,0.03526337746744834,0.5106066597236533
2007_001609,diningtable,0.20747473954976714,0.21240051905523039
2007_001630,bicycle,0.25381894405869254,0.8302516600503081
2007_001630,person,0.3569101135255173,0.8153022662518031
2007_001677,chair,0.06311706265281489,0.4731446672236146
2007_001677,diningtable,0.1101183856058921,0.5822252390234847
2007_001678,chair,0.007517253765040922,0.5137635435782699
2007_001678,person,0.3592964824120603,0.9278828024837226
2007_001678,tvmonitor,0.14481379723076085,0.6048480353955604
2007_001698,boat,0.876628019023344,0.9781554600342336
2007_001704,tvmonitor,0.24844500842503797,0.6068342583523778
2007_001709,motorbike,0.5361097474499537,0.666964716939263
2007_001709,person,0.002957582046958101,0.49834875797882755
2007_001717,chair,0.05088516147491148,0.2979386461518926
2007_001717,person,0.5959651146320242,0.8943556152844944
2007_001717,tvmonitor,0.023490661086569015,0.33334567888170497
2007_001724,horse,0.32417672796657565,0.7496313268576861
2007_001733,sheep,0.11407513004443501,0.7603749205242324
2007_001761,aeroplane,0.9414022473471231,0.9791628067835131
2007_001763,cat,0.2553196263359835,0.4414468997009935
2007_001763,dog,0.43903797381588866,0.6327156857795205
2007_001763,sofa,0.2593462361311508,0.5824455701599376
2007_001763,tvmonitor,0.0,0.8125066617299741
2007_001764,cow,0.47213525360050096,0.9585307862589161
2007_001774,cat,0.7031480104399049,0.8766330562086434
2007_001825,cat,0.7913606598892949,0.9346774650280342
2007_001825,dog,0.01254343141135594,0.36422382058107267
2007_001834,diningtable,0.7978266763058015,0.9436847503917336
2007_001857,car,0.23882498336343758,0.33224359081280336
2007_001857,person,0.41526222419336956,0.7654273625451048
2007_001872,sheep,0.48291080153736105,0.7642581558088374
2007_001884,aeroplane,0.07743334099241751,0.4931809824873361
2007_001884,bus,0.0487265036438309,0.36313943724583037
2007_001901,chair,0.05323632240385524,0.6969616317543658
2007_001901,diningtable,0.05456688575418637,0.553638722711848
2007_001901,sofa,0.2153870932194051,0.4401127517103297
2007_001917,cow,0.10229125019221898,0.8510339688890703
2007_001955,horse,0.0,0.4623993397689191
2007_001960,horse,0.4589508842036203,0.886631049457931
2007_002024,bus,0.8243792858831875,0.9174543898549034
2007_002024,person,0.009623132709353499,0.6448382597291454
2007_002046,horse,0.22032595673500757,0.6825665614445191
2007_002055,dog,0.09933591952133605,0.6171633948933506
2007_002055,person,0.15065629504120412,0.5685060143987837
2007_002055,sofa,0.12316324952308935,0.4296326521486384
2007_002088,cow,0.9547783188919107,0.9731868296707418
2007_002094,bird,0.9996045644559937,0.9999564112782704
2007_002099,aeroplane,0.36559525069830695,0.5714930060890754
2007_002105,motorbike,0.20150872490639551,0.6845563954916355
2007_002105,person,0.06378979072545049,0.5079933411565647
2007_002107,aeroplane,0.0005855336590364312,0.41601445556410915
2007_002119,person,0.47522846320211026,0.7583153409908743
2007_002119,tvmonitor,0.02308838488760262,0.21483720528543052
2007_002120,bird,8.602150537634408e-05,0.7835180184374709
2007_002120,person,0.5026928551095929,0.7288636434180712
2007_002132,tvmonitor,0.12722513089005236,0.6769171135086246
2007_002142,person,0.8497613521916189,0.9568286483629866
2007_002198,aeroplane,0.5298052100445905,0.9734285581660599
2007_002212,bird,0.8597089167280766,0.971892417289024
2007_002216,bus,0.7308659512794425,0.8297862007842947
2007_002227,bicycle,0.5902125556104795,0.8835083336586127
2007_002227,tvmonitor,0.06535427039448487,0.5237206760607361
2007_002234,boat,0.27297666026083,0.7273772457725017
2007_002260,motorbike,0.4501832758140233,0.6789598848488642
2007_002266,aeroplane,0.5963634815193323,0.8935954066083326
2007_002268,cat,0.026827732484920794,0.35127223722653944
2007_002268,dog,5.3873505010235965e-05,0.8974864546915646
2007_002268,sofa,0.006732053156991161,0.3097885219735004
2007_002273,horse,0.011655279324797612,0.721937745327669
2007_002273,person,0.05742439687393816,0.910381701584635
2007_002281,car,0.8005396359165272,0.8983331157244201
2007_002281,person,0.0074974580153524695,0.22682682682682684
2007_002284,pottedplant,0.5674488374584806,0.8866450645536281
2007_002293,person,0.9786363394802572,0.987440404406481
2007_002361,person,0.11969503558501057,0.7211232183118488
2007_002361,pottedplant,0.19750760454272753,0.5776353473634063
2007_002368,chair,0.08191376341722534,0.8415004363939942
2007_002368,diningtable,0.08736438661020617,0.6265163110161023
2007_002368,sofa,0.06892480259759427,0.36162515653262833
2007_002370,car,0.015111475043733948,0.5735100547463883
2007_002370,person,0.001568466993998909,0.5280420778913776
2007_002376,aeroplane,0.5985743806450115,0.8921923813205794
2007_002378,person,0.3126066077098696,0.656025737828699
2007_002378,pottedplant,0.0,0.8310823676176095
2007_002387,cow,0.0,0.6780816342036567
2007_002387,person,0.014561761519663416,0.36315878020850856
2007_002400,bird,0.8391587762972343,0.8682038462898984
2007_002403,bird,0.002810092752711838,0.44682451435672704
2007_002403,boat,0.04240177468101895,0.6494266030043386
2007_002403,person,0.006385898247836183,0.7947652996707872
2007_002412,bird,0.023039995107632095,0.6570454850395814
2007_002426,person,0.21543858169190322,0.2526750679648056
2007_002426,sofa,0.06459658311510164,0.5981840339623147
2007_002427,pottedplant,0.0,0.7686768426613284
2007_002427,sofa,0.6277815239379636,0.8388522812578196
2007_002445,cat,0.9390396923549112,0.9611726961201444
2007_002462,train,0.43198121484233887,0.8796432984505025
2007_002470,cat,0.8576850763807286,0.940127249986405
2007_002488,motorbike,0.5727679651584805,0.7867000875788965
2007_002488,person,0.056500012555558345,0.5461238788391266
2007_002539,bus,0.5682724049394792,0.5684386133229041
2007_002539,person,0.20290837215868981,0.8274964404221384
2007_002545,bottle,0.010514457378895982,0.6577361623303647
2007_002545,person,0.5322802026403134,0.8941554517679349
2007_002545,sofa,0.2809328808692531,0.5021827402567332
2007_002565,person,0.040209806157354616,0.3969335702413022
2007_002565,train,0.8163855421686746,0.9170172522496705
2007_002597,cat,0.0013553690101434069,0.6158184804974182
