Name,Class,IoU,Accuracy
2007_000032,aeroplane,0.027662517289073305,0.9531836175959155
2007_000032,person,0.43796296296296294,0.9955085278774649
2007_000033,aeroplane,0.0,0.8230199365006722
2007_000039,tvmonitor,0.26272851386900203,0.8800400931895758
2007_000042,train,0.0547555833203186,0.42359559122308005
2007_000061,boat,0.0,0.9345636231767266
2007_000063,chair,2.2512888628739953e-05,0.5031154564675087
2007_000063,dog,0.597183236105348,0.9076941147517144
2007_000068,bird,0.2924871168972064,0.9287057383052922
2007_000121,tvmonitor,0.0,0.525748889247246
2007_000123,train,9.494100094941001e-05,0.5969240190048168
2007_000129,bicycle,0.04431899458465311,0.7501051998797715
2007_000129,person,0.0032939085672263756,0.5654610426476973
2007_000170,bottle,0.0,0.9858597630344904
2007_000170,person,0.06605952225867194,0.5623574461000582
2007_000175,sheep,0.1416819012797075,0.7114698152434001
2007_000187,tvmonitor,0.0,0.721695428004489
2007_000241,boat,0.11108286731062532,0.96174693029234
2007_000243,aeroplane,0.9722488038277513,0.9996485955941158
2007_000250,bottle,0.007004013535846384,0.9310141219308173
2007_000250,diningtable,0.02410163441404219,0.6203425784688393
2007_000256,aeroplane,0.7309445034022098,0.9736236567036303
2007_000323,person,0.0,0.2191427171693263
2007_000332,horse,0.0,0.8537051305726603
2007_000333,train,0.0,0.7125040841866458
2007_000346,bottle,0.08531187122736418,0.9118064408846517
2007_000346,person,0.0,0.6918020065406574
2007_000363,bird,0.21021890264388907,0.8054682029409892
2007_000364,motorbike,7.505535332307577e-05,0.6924186892153185
2007_000364,person,0.46593186372745493,0.9753888776658682
2007_000392,horse,0.0,0.905607107869816
2007_000392,person,0.0,0.972658375966039
2007_000452,chair,0.0,0.9707464841101463
2007_000452,sofa,0.04081696484423871,0.8323144725618424
2007_000464,cow,0.8930807382714042,0.9928477800923534
2007_000480,aeroplane,0.0,0.7773683305633561
2007_000480,person,0.02158153022529556,0.6983494756146484
2007_000491,cow,0.0019623120653334486,0.361283650265016
2007_000504,cow,0.0,0.8936829582829323
2007_000504,person,0.0,0.9765622656976337
2007_000515,bicycle,0.0,0.9980404177522826
2007_000515,car,0.0,0.9409169531232895
2007_000515,person,0.0,0.9360344185842839
2007_000528,cat,0.0,0.8802918353760355
2007_000529,boat,0.0,0.9218051772031294
2007_000529,car,0.0,0.9971282491713522
2007_000549,cat,0.00015409677277330164,0.25966595670694603
2007_000559,bottle,0.0,0.9788200537550812
2007_000559,tvmonitor,0.010215745106443777,0.7691807903329705
2007_000572,bicycle,0.02531645569620253,0.9539416168747084
2007_000584,bicycle,0.24283380841046665,0.8618688978609282
2007_000584,sofa,0.0,0.8918836803019591
2007_000629,person,0.0,0.9980524833102349
2007_000629,train,0.0,0.7048561102203864
2007_000636,train,0.0,0.7551701712551485
2007_000645,bird,0.0,0.6906328973312228
2007_000648,aeroplane,0.0,0.979929481963656
2007_000648,bus,0.0,0.7194164285579124
2007_000648,car,0.0,0.9987889567998184
2007_000648,person,0.0,0.997962672116361
2007_000661,chair,0.0,0.9473663835058844
2007_000661,pottedplant,0.3059617547806524,0.9931753827094947
2007_000661,sofa,0.35845466578424884,0.9571110963631537
2007_000663,bus,0.0,0.25202301833344887
2007_000663,car,0.0,0.9656408783415706
2007_000676,sheep,0.0,0.7629918073132581
2007_000713,boat,0.0,0.7810779599293662
2007_000720,dog,0.0,0.9543663001431574
2007_000727,bus,0.004206575200621279,0.9147685728845856
2007_000727,car,0.0006936561987640308,0.9122205481576673
2007_000727,person,0.0,0.9614417388607006
2007_000733,motorbike,0.0,0.8038340038340038
2007_000733,person,0.0560521288209607,0.8505872505872506
2007_000738,aeroplane,0.002559682390429922,0.7625020989719702
2007_000762,bottle,0.0,0.9117530434576757
2007_000762,diningtable,0.012740772624556118,0.7285123306642046
2007_000762,person,0.000993330495246204,0.791677763376714
2007_000768,bus,0.001830733437583432,0.423673199735741
2007_000783,horse,0.0,0.830405109634287
2007_000783,person,0.0,0.9692735484897926
2007_000793,bicycle,0.0,0.9886352829291488
2007_000793,bus,0.008688456764584195,0.9857584403233476
2007_000793,person,0.0168698847502923,0.8950427960057061
2007_000799,horse,0.0008985694773919919,0.7380964719294857
2007_000799,person,0.04036543492478744,0.7788042530939515
2007_000804,chair,0.12436507936507936,0.9315833860425891
2007_000804,sofa,0.0,0.9027855291389167
2007_000822,motorbike,0.0009677090760924926,0.7823348924435863
2007_000830,chair,0.0,0.7995489002323334
2007_000830,diningtable,0.0,0.9531941594451133
2007_000836,horse,0.03545331529093369,0.9031390134529148
2007_000836,person,0.2570056044835869,0.9621687729311048
2007_000837,boat,0.02323429128105212,0.8520859764553153
2007_000847,diningtable,0.0,0.8053294871232396
2007_000847,person,0.1841550779603877,0.798271399113763
2007_000862,boat,0.0930576070901034,0.9967139416644367
2007_000862,person,0.18980169971671387,0.9984693604495585
