Threshold,Class,TP,FN,FP
0.4,motorbike,2840613,2635468,456424
0.4,person,9480597,15485576,2175628
0.4,pottedplant,1015327,1889575,185780
0.4,sheep,2173373,2013895,205823
0.4,sofa,2851964,4239500,747819
0.4,train,4364053,3539190,357709
0.4,tvmonitor,2670536,1463392,50212
0.5,aeroplane,2487951,1216442,374989
0.5,bicycle,537563,1033585,696263
0.5,bird,2090381,2293751,76052
0.5,boat,1695378,1167535,255075
0.5,bottle,1412027,2026936,32633
0.5,bus,3255607,5440767,158129
0.5,car,3355783,3740304,313341
0.5,cat,5170033,7303433,243393
0.5,chair,1308136,3661448,565432
0.5,cow,2009628,3018141,148512
0.5,diningtable,1399105,4847277,321086
0.5,dog,4226080,5153260,204554
0.5,horse,2305141,2620535,196970
0.5,motorbike,2221392,3254689,322960
0.5,person,7401642,17564531,1652859
0.5,pottedplant,787648,2117254,92141
0.5,sheep,1733792,2453476,127526
0.5,sofa,2085739,5005725,577689
0.5,train,3491109,4412134,267129
0.5,tvmonitor,2090021,2043907,37883
0.6,aeroplane,2169225,1535168,284755
0.6,bicycle,433467,1137681,549842
0.6,bird,1761398,2622734,62558
0.6,boat,1501065,1361848,187690
0.6,bottle,1130123,2308840,25977
0.6,bus,2321690,6374684,116430
0.6,car,2579996,4516091,260108
0.6,cat,4121199,8352267,158636
0.6,chair,973859,3995725,453299
0.6,cow,1666533,3361236,113184
0.6,diningtable,1096137,5150245,206169
0.6,dog,3176187,6203153,136862
0.6,horse,1854272,3071404,151398
0.6,motorbike,1911651,3564430,274097
0.6,person,5320991,19645182,1191865
0.6,pottedplant,653320,2251582,59775
0.6,sheep,1295517,2891751,94874
0.6,sofa,1496186,5595278,449007
0.6,train,2740793,5162450,228454
0.6,tvmonitor,1596472,2537456,27496
0.7,aeroplane,1719668,1984725,192197
0.7,bicycle,348577,1222571,405598
0.7,bird,1557474,2826658,47013
0.7,boat,1302497,1560416,152907
0.7,bottle,940264,2498699,10525
0.7,bus,1612121,7084253,83673
0.7,car,1912574,5183513,179088
0.7,cat,2829929,9643537,97204
0.7,chair,680153,4289431,318681
0.7,cow,1173525,3854244,86118
0.7,diningtable,828150,5418232,141567
0.7,dog,2521939,6857401,105526
0.7,horse,1287231,3638445,71392
0.7,motorbike,1399967,4076114,204785
0.7,person,3694535,21271638,856190
0.7,pottedplant,457271,2447631,19072
0.7,sheep,1010402,3176866,50659
0.7,sofa,1009691,6081773,344252
0.7,train,2043634,5859609,152668
0.7,tvmonitor,1127069,3006859,22394
0.8,aeroplane,1150814,2553579,114420
0.8,bicycle,190573,1380575,242119
0.8,bird,1007558,3376574,29160
0.8,boat,957064,1905849,128745
0.8,bottle,553048,2885915,6513
0.8,bus,918229,7778145,35473
0.8,car,1180441,5915646,114917
0.8,cat,2211195,10262271,54528
0.8,chair,391873,4577711,200868
0.8,cow,615547,4412222,45625
0.8,diningtable,489177,5757205,91546
0.8,dog,1585025,7794315,34069
0.8,horse,865898,4059778,44657
0.8,motorbike,1068204,4407877,160079
0.8,person,2236800,22729373,522216
0.8,pottedplant,254580,2650322,12597
0.8,sheep,517690,3669578,9128
0.8,sofa,527407,6564057,280137
0.8,train,1313073,6590170,95748
0.8,tvmonitor,721440,3412488,5944
0.9,aeroplane,513805,3190588,95006
0.9,bicycle,124960,1446188,148395
0.9,bird,532068,3852064,8431
0.9,boat,491545,2371368,52260
0.9,bottle,277582,3161381,1162
0.9,bus,397270,8299104,15728
0.9,car,525332,6570755,68715
0.9,cat,880154,11593312,26596
0.9,chair,159603,4809981,91671
0.9,cow,240533,4787236,12936
0.9,diningtable,156214,6090168,53387
0.9,dog,658923,8720417,24316
0.9,horse,198995,4726681,22091
0.9,motorbike,470857,5005224,67554
0.9,person,879324,24086849,215401
0.9,pottedplant,126114,2778788,4368
0.9,sheep,240605,3946663,741
0.9,sofa,202505,6888959,158407
0.9,train,490733,7412510,38408
0.9,tvmonitor,295422,3838506,938
