Threshold,Class,TP,FN,FP
0.1,aeroplane,3376429,327964,1313214
0.1,bicycle,978357,592791,1609521
0.1,bird,3494781,889351,340975
0.1,boat,2377108,485805,607382
0.1,bottle,2681054,757909,103914
0.1,bus,6733694,1962680,412842
0.1,car,5833902,1262185,651810
0.1,cat,10234246,2239220,1225429
0.1,chair,3098176,1871408,1844687
0.1,cow,3508022,1519747,553111
0.1,diningtable,3837544,2408838,831600
0.1,dog,7744438,1634902,883739
0.1,horse,3904437,1021239,1021532
0.1,motorbike,3964766,1511315,995219
0.1,person,17210162,7756011,4936276
0.1,pottedplant,1845640,1059262,531816
0.1,sheep,3176194,1011074,646115
0.1,sofa,4678291,2413173,1786774
0.1,train,6181128,1722115,624348
0.1,tvmonitor,3508161,625767,113678
0.2,aeroplane,3175562,528831,925454
0.2,bicycle,862596,708552,1332146
0.2,bird,3091257,1292875,207948
0.2,boat,2235406,627507,513315
0.2,bottle,2376110,1062853,92156
0.2,bus,5840964,2855410,313462
0.2,car,5392853,1703234,562346
0.2,cat,8798190,3675276,753570
0.2,chair,2554837,2414747,1487384
0.2,cow,3130094,1897675,362100
0.2,diningtable,2808593,3437789,662648
0.2,dog,6621113,2758227,567085
0.2,horse,3545752,1379924,615902
0.2,motorbike,3595553,1880528,771880
0.2,person,14399262,10566911,3762936
0.2,pottedplant,1695601,1209301,395354
0.2,sheep,2888595,1298673,433702
0.2,sofa,3928361,3163103,1434101
0.2,train,5523663,2379580,527850
0.2,tvmonitor,3318095,815833,87009
0.3,aeroplane,2968839,735554,661155
0.3,bicycle,760799,810349,1129238
0.3,bird,2814748,1569384,164225
0.3,boat,2113630,749283,417593
0.3,bottle,2022382,1416581,78286
0.3,bus,4999102,3697272,263099
0.3,car,4633663,2462424,471116
0.3,cat,7367191,5106275,478310
0.3,chair,2114333,2855251,1181105
0.3,cow,2762696,2265073,250939
0.3,diningtable,2094772,4151610,474359
0.3,dog,5683873,3695467,383081
0.3,horse,3176553,1749123,417975
0.3,motorbike,3294910,2181171,617601
0.3,person,11674348,13291825,2795880
0.3,pottedplant,1296965,1607937,243651
0.3,sheep,2503077,1684191,316947
0.3,sofa,3467742,3623722,1017559
0.3,train,4889431,3013812,421367
0.3,tvmonitor,3085262,1048666,65670
0.4,aeroplane,2827134,877259,506301
0.4,bicycle,635440,935708,856115
0.4,bird,2472500,1911632,111878
0.4,boat,1901643,961270,301628
0.4,bottle,1728903,1710060,51024
0.4,bus,3985255,4711119,222731
0.4,car,3984041,3112046,347983
0.4,cat,6422311,6051155,372981
0.4,chair,1871622,3097962,897295
0.4,cow,2461945,2565824,192370
0.4,diningtable,1692337,4554045,380660
0.4,dog,5119240,4260100,268594
0.4,horse,2709106,2216570,309997
