Threshold,Class,TP,FN,FP,TN
0.5,bus,8080985,615389,844840,30608366
0.5,car,6608800,487287,1205019,68922288
0.5,cat,11675898,797568,2604499,33216401
0.5,chair,4098060,871524,3584385,82779328
0.5,cow,4604305,423464,1297009,41676393
0.5,diningtable,5401931,844451,1474835,20776684
0.5,dog,8723987,655353,1857008,39082548
0.5,horse,4579084,346592,1925321,27110425
0.5,motorbike,4913761,562320,1923609,26858073
0.5,person,21629266,3336907,9603578,251522973
0.5,pottedplant,2469649,435253,991249,49729560
0.5,sheep,3794986,392282,1289478,48861355
0.5,sofa,5787858,1303606,3058299,25415534
0.5,train,7423162,480081,1456659,23019896
0.5,tvmonitor,3824043,309885,256857,30350061
0.6,aeroplane,3511497,192896,2540830,29859543
0.6,bicycle,1322960,248188,2505595,28248052
0.6,bird,4015241,368891,1008848,42476504
0.6,boat,2611448,251465,1374359,35111182
0.6,bottle,2974164,464799,231200,55938694
0.6,bus,7933206,763168,681884,30771322
0.6,car,6443362,652725,1007273,69120034
0.6,cat,11498064,975402,2344743,33476157
0.6,chair,3939979,1029605,3147641,83216072
0.6,cow,4437321,590448,1101755,41871647
0.6,diningtable,5213816,1032566,1328575,20922944
0.6,dog,8627692,751648,1688566,39250990
0.6,horse,4515765,409911,1726950,27308796
0.6,motorbike,4734549,741532,1674575,27107107
0.6,person,20921403,4044770,8326731,252799820
0.6,pottedplant,2371153,533749,824828,49895981
0.6,sheep,3695703,491565,1160015,48990818
0.6,sofa,5654458,1437006,2846934,25626899
0.6,train,7323452,579791,1138811,23337744
0.6,tvmonitor,3766330,367598,198275,30408643
0.7,aeroplane,3481889,222504,2280025,30120348
0.7,bicycle,1270113,301035,2306410,28447237
0.7,bird,3973321,410811,873529,42611823
0.7,boat,2569018,293895,1158666,35326875
0.7,bottle,2902989,535974,169128,56000766
0.7,bus,7740193,956181,586374,30866832
0.7,car,6248836,847251,891670,69235637
0.7,cat,11366522,1106944,2171220,33649680
0.7,chair,3822512,1147072,2831824,83531889
0.7,cow,4260443,767326,986987,41986415
0.7,diningtable,5076726,1169656,1196316,21055203
0.7,dog,8534327,845013,1597032,39342524
0.7,horse,4454424,471252,1613248,27422498
0.7,motorbike,4594436,881645,1519025,27262657
0.7,person,20505811,4460362,7574934,253551617
0.7,pottedplant,2311795,593107,771231,49949578
0.7,sheep,3598401,588867,1068346,49082487
0.7,sofa,5585869,1505595,2698787,25775046
0.7,train,7102730,800513,974835,23501720
0.7,tvmonitor,3716283,417645,159532,30447386
0.8,aeroplane,3463375,241018,2104872,30295501
0.8,bicycle,1216238,354910,2151883,28601764
0.8,bird,3917909,466223,766644,42718708
0.8,boat,2521606,341307,1021452,35464089
0.8,bottle,2848575,590388,143613,56026281
0.8,bus,7617202,1079172,530196,30923010
0.8,car,6140653,955434,813207,69314100
0.8,cat,11264482,1208984,2052463,33768437
0.8,chair,3645971,1323613,2578135,83785578
0.8,cow,4203575,824194,919331,42054071
0.8,diningtable,5008994,1237388,1129036,21122483
0.8,dog,8415936,963404,1556824,39382732
0.8,horse,4397902,527774,1535329,27500417
0.8,motorbike,4473610,1002471,1430959,27350723
0.8,person,20069671,4896502,7031703,254094848
0.8,pottedplant,2260798,644104,715235,50005574
0.8,sheep,3500666,686602,1005158,49145675
0.8,sofa,5499141,1592323,2608379,25865454
0.8,train,6994156,909087,858565,23617990
0.8,tvmonitor,3688863,445065,139159,30467759
0.9,aeroplane,3454278,250115,1947499,30452874
0.9,bicycle,1178368,392780,2081150,28672497
0.9,bird,3878633,505499,695510,42789842
0.9,boat,2472739,390174,915933,35569608
0.9,bottle,2804744,634219,129192,56040702
0.9,bus,7498174,1198200,493973,30959233
0.9,car,6041108,1054979,764276,69363031
0.9,cat,11174492,1298974,2006671,33814229
0.9,chair,3557167,1412417,2415401,83948312
0.9,cow,4167332,860437,875166,42098236
0.9,diningtable,4962354,1284028,1113561,21137958
0.9,dog,8352353,1026987,1533764,39405792
0.9,horse,4359090,566586,1474125,27561621
0.9,motorbike,4409982,1066099,1378796,27402886
0.9,person,19840752,5125421,6683834,254442717
0.9,pottedplant,2230368,674534,700720,50020089
0.9,sheep,3432467,754801,934602,49216231
0.9,sofa,5464667,1626797,2534671,25939162
0.9,train,6944167,959076,822096,23654459
0.9,tvmonitor,3633375,500553,127227,30479691
