Threshold,Class,TP,FN,FP,TN
0.1,aeroplane,3692338,12055,5558611,26841762
0.1,bicycle,1557340,13808,4787015,25966632
0.1,bird,4338652,45480,4098425,39386927
0.1,boat,2836329,26584,2908802,33576739
0.1,bottle,3412807,26156,1100109,55069785
0.1,bus,8626913,69461,2096148,29357058
0.1,car,7030474,65613,2992709,67134598
0.1,cat,12322618,150848,6423310,29397590
0.1,chair,4781858,187726,5593501,80770212
0.1,cow,4988649,39120,3309250,39664152
0.1,diningtable,6128700,117682,2425313,19826206
0.1,dog,9262611,116729,4904402,36035154
0.1,horse,4892180,33496,4457768,24577978
0.1,motorbike,5438072,38009,4538962,24242720
0.1,person,24427463,538710,19792423,241334128
0.1,pottedplant,2842173,62729,2400287,48320522
0.1,sheep,4143434,43834,2870700,47280133
0.1,sofa,6623200,468264,4240753,24233080
0.1,train,7860268,42975,3389528,21087027
0.1,tvmonitor,4099312,34616,684288,29922630
0.2,aeroplane,3680882,23511,4927033,27473340
0.2,bicycle,1534951,36197,4196831,26556816
0.2,bird,4288665,95467,2983456,40501896
0.2,boat,2819984,42929,2656621,33828920
0.2,bottle,3362224,76739,883684,55286210
0.2,bus,8565589,130785,1744452,29708754
0.2,car,6950113,145974,2508047,67619260
0.2,cat,12220331,253135,4955453,30865447
0.2,chair,4587532,382052,5166459,81197254
0.2,cow,4922533,105236,2546100,40427302
0.2,diningtable,6004419,241963,2205137,20046382
0.2,dog,9128156,251184,3452456,37487100
0.2,horse,4857459,68217,3617246,25418500
0.2,motorbike,5393291,82790,3778237,25003445
0.2,person,23904529,1061644,16953088,244173463
0.2,pottedplant,2795114,109788,1993609,48727200
0.2,sheep,4093394,93874,2269257,47881576
0.2,sofa,6329476,761988,3951457,24522376
0.2,train,7821500,81743,2955575,21520980
0.2,tvmonitor,4055282,78646,578287,30028631
0.3,aeroplane,3659190,45203,4182070,28218303
0.3,bicycle,1496180,74968,3648668,27104979
0.3,bird,4240338,143794,2257924,41227428
0.3,boat,2776959,85954,2293242,34192299
0.3,bottle,3287099,151864,671658,55498236
0.3,bus,8431064,265310,1357682,30095524
0.3,car,6849969,246118,1962524,68164783
0.3,cat,12047007,426459,3862166,31958734
0.3,chair,4463261,506323,4609096,81754617
0.3,cow,4818250,209519,1948688,41024714
0.3,diningtable,5820209,426173,1931175,20320344
0.3,dog,8970939,408401,2604592,38334964
0.3,horse,4774835,150841,2866864,26168882
0.3,motorbike,5255238,220843,2955972,25825710
0.3,person,23194487,1771686,13865218,247261333
0.3,pottedplant,2666558,238344,1498939,49221870
0.3,sheep,3999652,187616,1858696,48292137
0.3,sofa,6086184,1005280,3618120,24855713
0.3,train,7718863,184380,2425006,22051549
0.3,tvmonitor,3985095,148833,451872,30155046
0.4,aeroplane,3619308,85085,3474589,28925784
0.4,bicycle,1450622,120526,3184375,27569272
0.4,bird,4107775,276357,1671559,41813793
0.4,boat,2721394,141519,1945730,34539811
0.4,bottle,3206873,232090,472245,55697649
0.4,bus,8263509,432865,1054369,30398837
0.4,car,6737749,358338,1517867,68609440
0.4,cat,11849524,623942,3062304,32758596
0.4,chair,4263012,706572,4056756,82306957
0.4,cow,4716798,310971,1556674,41416728
0.4,diningtable,5571488,674894,1662000,20589519
0.4,dog,8821917,557423,2127192,38812364
0.4,horse,4695913,229763,2313459,26722287
0.4,motorbike,5112712,363369,2347397,26434285
0.4,person,22364031,2602142,11405557,249720994
0.4,pottedplant,2573886,331016,1185500,49535309
0.4,sheep,3934041,253227,1532615,48618218
0.4,sofa,5903528,1187936,3320934,25152899
0.4,train,7551106,352137,1855487,22621068
0.4,tvmonitor,3911494,222434,344573,30262345
0.5,aeroplane,3543547,160846,2890417,29509956
0.5,bicycle,1386137,185011,2803481,27950166
0.5,bird,4063751,320381,1285120,42200232
0.5,boat,2671901,191012,1646095,34839446
0.5,bottle,3124787,314176,321945,55847949
