Threshold,Class,TP,FN,FP,TN
-,aeroplane,3446777,257616,1890018,30510355
-,bicycle,1137102,434046,2063720,28689927
-,bird,3795015,589117,716412,42768940
-,boat,2464021,398892,894314,35591227
-,bottle,2715979,722984,133860,56036034
-,bus,7450656,1245718,485228,30967978
-,car,6104349,991738,786690,69340617
-,cat,11189244,1284222,2055232,33765668
-,chair,3738243,1231341,2393852,83969861
-,cow,4125866,901903,835770,42137632
-,diningtable,4917261,1329121,1089010,21162509
-,dog,8355424,1023916,1529791,39409765
-,horse,4343459,582217,1474790,27560956
-,motorbike,4414651,1061430,1380170,27401512
-,person,20168850,4797323,6564014,254562537
-,pottedplant,2193303,711599,679063,50041746
-,sheep,3299813,887455,844475,49306358
-,sofa,5789330,1302134,2589518,25884315
-,train,6724056,1179187,783773,23692782
-,tvmonitor,3596530,537398,124912,30482006
