Threshold,Class,TP,FN,FP,TN
0.1,aeroplane,3688558,15835,24253136,1390296
0.1,bicycle,1562395,8753,20297749,1814900
0.1,bird,4328569,55563,29814442,2161822
0.1,boat,2852949,9964,21496023,1276891
0.1,bottle,3435266,3697,26054110,1167633
0.1,bus,8632433,63941,15989406,1264720
0.1,car,7082256,5947,33171125,2499250
0.1,cat,12374948,98518,26943895,2657452
0.1,chair,4928006,47278,39275218,1312653
0.1,cow,4710396,317373,15964292,2071532
0.1,diningtable,5998264,248118,18492906,1932377
0.1,dog,9319499,59841,28888329,3675308
0.1,horse,4845097,80579,16986930,2671825
0.1,motorbike,5433564,42517,19642704,1579832
0.1,person,24322459,664537,112127069,10102494
0.1,pottedplant,2853028,51874,22927621,2025509
0.1,sheep,4174704,12564,14618582,2149674
0.1,sofa,6901313,190151,22959279,1032459
0.1,train,7831865,71378,19114125,1560628
0.1,tvmonitor,4107231,13758,23089496,373233
0.2,aeroplane,3670404,33989,23450359,2193073
0.2,bicycle,1555570,15578,19420515,2692134
0.2,bird,4274680,109452,28878197,3098067
0.2,boat,2836708,26205,20862900,1910014
0.2,bottle,3427460,11503,25052488,2169255
0.2,bus,8543040,153334,15295025,1959101
0.2,car,7069694,18509,31616495,4053880
0.2,cat,12309017,164449,25548241,4053106
0.2,chair,4903128,72156,38438847,2149024
0.2,cow,4590815,436954,15302161,2733663
0.2,diningtable,5855020,391362,17473920,2951363
0.2,dog,9224096,155244,27168927,5394710
0.2,horse,4775478,150198,16123579,3535176
0.2,motorbike,5405343,70738,18806513,2416023
0.2,person,23839020,1147976,106898844,15330719
0.2,pottedplant,2835063,69839,21816028,3137102
0.2,sheep,4167315,19953,13872593,2895663
0.2,sofa,6804908,286556,22175512,1816226
0.2,train,7789392,113851,18409160,2265593
0.2,tvmonitor,4100824,20165,22598573,864156
0.3,aeroplane,3652168,52225,23081013,2562419
0.3,bicycle,1547660,23488,19004672,3107977
0.3,bird,4256205,127927,28317457,3658807
0.3,boat,2819572,43341,20367986,2404928
0.3,bottle,3409570,29393,24523064,2698679
0.3,bus,8486708,209666,15018453,2235673
0.3,car,7061106,27097,30763349,4907026
0.3,cat,12269984,203482,24849798,4751549
0.3,chair,4869912,105372,37685190,2902681
0.3,cow,4471101,556668,14889547,3146277
0.3,diningtable,5782036,464346,16751324,3673959
0.3,dog,9176417,202923,26500987,6062650
0.3,horse,4750774,174902,15620911,4037844
0.3,motorbike,5388900,87181,18317671,2904865
0.3,person,23303200,1683796,103095348,19134215
0.3,pottedplant,2830788,74114,20968305,3984825
0.3,sheep,4164039,23229,13598957,3169299
0.3,sofa,6689214,402250,21574008,2417730
