Threshold,Class,TP,FN,FP,TN
0.3,train,7747148,156095,17740666,2934087
0.3,tvmonitor,4090240,30749,22254325,1208404
0.4,aeroplane,3629365,75028,22833937,2809495
0.4,bicycle,1540268,30880,18649566,3463083
0.4,bird,4247999,136133,28007094,3969170
0.4,boat,2803703,59210,20029457,2743457
0.4,bottle,3381241,57722,24117481,3104262
0.4,bus,8407451,288923,14822713,2431413
0.4,car,7050234,37969,30247628,5422747
0.4,cat,12200208,273258,24204325,5397022
0.4,chair,4833682,141602,36931431,3656440
0.4,cow,4399407,628362,14557200,3478624
0.4,diningtable,5729167,517215,16232711,4192572
0.4,dog,9164369,214971,26174660,6388977
0.4,horse,4723026,202650,15138995,4519760
0.4,motorbike,5347278,128803,18078348,3144188
0.4,person,22902027,2084969,100320028,21909535
0.4,pottedplant,2806470,98432,20411622,4541508
0.4,sheep,4159446,27822,13474438,3293818
0.4,sofa,6513471,577993,21107918,2883820
0.4,train,7688316,214927,17342934,3331819
0.4,tvmonitor,4076914,44075,21821175,1641554
0.5,aeroplane,3619731,84662,22684228,2959204
0.5,bicycle,1534301,36847,18469613,3643036
0.5,bird,4239916,144216,27861921,4114343
0.5,boat,2789911,73002,19752560,3020354
0.5,bottle,3370919,68044,23828101,3393642
0.5,bus,8348832,347542,14686858,2567268
0.5,car,7043472,44731,29912300,5758075
0.5,cat,12180412,293054,23930620,5670727
0.5,chair,4812905,162379,36464091,4123780
0.5,cow,4344259,683510,14451998,3583826
0.5,diningtable,5619473,626909,15778080,4647203
0.5,dog,9145711,233629,25944266,6619371
0.5,horse,4684387,241289,14962655,4696100
0.5,motorbike,5340447,135634,17982573,3239963
0.5,person,22531289,2455707,98178398,24051165
0.5,pottedplant,2786556,118346,19929944,5023186
0.5,sheep,4157894,29374,13338143,3430113
0.5,sofa,6454294,637170,20821607,3170131
0.5,train,7671476,231767,17106226,3568527
0.5,tvmonitor,4057163,63826,21608856,1853873
0.6,aeroplane,3603335,101058,22520837,3122595
0.6,bicycle,1529558,41590,18216068,3896581
0.6,bird,4234566,149566,27671834,4304430
0.6,boat,2781511,81402,19645396,3127518
0.6,bottle,3368951,70012,23750427,3471316
0.6,bus,8337598,358776,14548688,2705438
0.6,car,7031785,56418,29708296,5962079
0.6,cat,12147713,325753,23797906,5803441
0.6,chair,4744391,230893,36154745,4433126
0.6,cow,4311078,716691,14347225,3688599
0.6,diningtable,5574729,671653,15516924,4908359
0.6,dog,9135977,243363,25877530,6686107
0.6,horse,4648331,277345,14722656,4936099
0.6,motorbike,5326564,149517,17928475,3294061
0.6,person,22211161,2775835,96546027,25683536
0.6,pottedplant,2784475,120427,19641804,5311326
0.6,sheep,4154226,33042,13320251,3448005
0.6,sofa,6387909,703555,20613751,3377987
0.6,train,7661305,241938,16897910,3776843
0.6,tvmonitor,4050844,70145,21402549,2060180
0.7,aeroplane,3596986,107407,22408708,3234724
0.7,bicycle,1500449,70699,18054376,4058273
0.7,bird,4220711,163421,27449226,4527038
0.7,boat,2774048,88865,19565524,3207390
0.7,bottle,3367740,71223,23683079,3538664
0.7,bus,8326969,369405,14536850,2717276
0.7,car,7026380,61823,29568547,6101828
0.7,cat,12117909,355557,23736855,5864492
0.7,chair,4695968,279316,35899855,4688016
0.7,cow,4294985,732784,14101284,3934540
0.7,diningtable,5538989,707393,15410718,5014565
0.7,dog,9127465,251875,25719297,6844340
0.7,horse,4633668,292008,14627987,5030768
0.7,motorbike,5324262,151819,17912344,3310192
0.7,person,22045253,2941743,95812548,26417015
0.7,pottedplant,2780919,123983,19477809,5475321
0.7,sheep,4153326,33942,13215096,3553160
0.7,sofa,6376929,714535,20504749,3486989
0.7,train,7635934,267309,16713191,3961562
0.7,tvmonitor,4020746,100243,21273459,2189270
0.8,aeroplane,3578523,125870,22294596,3348836
0.8,bicycle,1493600,77548,18023753,4088896
0.8,bird,4209333,174799,27209435,4766829
0.8,boat,2772427,90486,19495497,3277417
0.8,bottle,3365193,73770,23618233,3603510
0.8,bus,8320213,376161,14447834,2806292
0.8,car,7023842,64361,29438351,6232024
0.8,cat,12073574,399892,23712004,5889343
0.8,chair,4692161,283123,35676818,4911053
0.8,cow,4263259,764510,14087941,3947883
0.8,diningtable,5523136,723246,15335712,5089571
0.8,dog,9125531,253809,25662789,6900848
0.8,horse,4625691,299985,14574708,5084047
0.8,motorbike,5321838,154243,17887144,3335392
0.8,person,21957306,3029690,95156053,27073510
0.8,pottedplant,2777296,127606,19309699,5643431
0.8,sheep,4152974,34294,13199234,3569022
0.8,sofa,6269346,822118,20443545,3548193
0.8,train,7582519,320724,16630224,4044529
0.8,tvmonitor,4019630,101359,21250907,2211822
0.9,aeroplane,3566854,137539,21986044,3657388
0.9,bicycle,1493258,77890,17988369,4124280
0.9,bird,4201470,182662,27194255,4782009
0.9,boat,2766602,96311,19466429,3306485
0.9,bottle,3363503,75460,23608373,3613370
0.9,bus,8316433,379941,14421987,2832139
0.9,car,7021612,66591,29398133,6272242
0.9,cat,12062338,411128,23686958,5914389
0.9,chair,4690965,284319,35634500,4953371
0.9,cow,4253811,773958,14073900,3961924
0.9,diningtable,5508244,738138,15318145,5107138
0.9,dog,9122697,256643,25659240,6904397
0.9,horse,4618029,307647,14559735,5099020
0.9,motorbike,5321235,154846,17886026,3336510
0.9,person,21908695,3078301,94851038,27378525
0.9,pottedplant,2773954,130948,19280835,5672295
0.9,sheep,4148905,38363,13189268,3578988
0.9,sofa,6254223,837241,20312588,3679150
0.9,train,7562006,341237,16624886,4049867
0.9,tvmonitor,4018115,102874,21210282,2252447
