Threshold,Class,TP,FN,FP,TN
0.1,aeroplane,3457326,247067,10772226,14871206
0.1,bicycle,1317944,253204,10305961,11806688
0.1,bird,3946234,437898,10573460,21402804
0.1,boat,2645475,217438,11259974,11512940
0.1,bottle,3013632,425331,15010140,12211603
0.1,bus,7688842,1007532,8678691,8575435
0.1,car,6563090,525113,18283683,17386692
0.1,cat,11424020,1049446,10997705,18603642
0.1,chair,3870207,1105077,28167351,12420520
0.1,cow,3825758,1202011,6177052,11858772
0.1,diningtable,4460037,1786345,11251221,9174062
0.1,dog,8333293,1046047,10168548,22395089
0.1,horse,4309629,616047,7735269,11923486
0.1,motorbike,4899465,576616,9740399,11482137
0.1,person,18886462,6100534,64064270,58165293
0.1,pottedplant,2390301,514601,13591270,11361860
0.1,sheep,4011107,176161,6167238,10601018
0.1,sofa,5156200,1935264,14735335,9256403
0.1,train,7169415,733828,10616362,10058391
0.1,tvmonitor,3529411,591578,15471122,7991607
0.2,aeroplane,3295057,409336,4771778,20871654
0.2,bicycle,1124241,446907,6615838,15496811
0.2,bird,3347822,1036310,5268392,26707872
0.2,boat,2494440,368473,7520713,15252201
0.2,bottle,2765773,673190,9641398,17580345
0.2,bus,6781093,1915281,5609634,11644492
0.2,car,5912666,1175537,12182430,23487945
0.2,cat,10332246,2141220,6306171,23295176
0.2,chair,3211933,1763351,21120162,19467709
0.2,cow,3693264,1334505,3637021,14398803
0.2,diningtable,3638464,2607918,7509536,12915747
0.2,dog,7491875,1887465,4786646,27776991
0.2,horse,4021862,903814,4327699,15331056
0.2,motorbike,4420782,1055299,5963309,15259227
0.2,person,15935319,9051677,42997889,79231674
0.2,pottedplant,1939196,965706,8382081,16571049
0.2,sheep,3435356,751912,3002152,13766104
0.2,sofa,4251465,2839999,10662369,13329369
0.2,train,6360836,1542407,7131769,13542984
0.2,tvmonitor,3110483,1010506,10345451,13117278
0.3,aeroplane,3110389,594004,3266315,22377117
0.3,bicycle,1032992,538156,4933589,17179060
0.3,bird,2962126,1422006,3389975,28586289
0.3,boat,2321518,541395,4846595,17926319
0.3,bottle,2337111,1101852,6784900,20436843
0.3,bus,5673832,3022542,3505928,13748198
0.3,car,5199947,1888256,8974355,26696020
0.3,cat,8629417,3844049,3640506,25960841
0.3,chair,2702161,2273123,15066989,25520882
0.3,cow,3458452,1569317,1987320,16048504
0.3,diningtable,2965397,3280985,5023566,15401717
0.3,dog,6287547,3091793,2683391,29880246
0.3,horse,3364639,1561037,2485043,17173712
0.3,motorbike,4136881,1339200,4169589,17052947
0.3,person,13086736,11900260,31041602,91187961
0.3,pottedplant,1648015,1256887,5480562,19472568
0.3,sheep,2937630,1249638,1823823,14944433
0.3,sofa,3727332,3364132,7688282,16303456
0.3,train,5769521,2133722,5873225,14801528
0.3,tvmonitor,2762251,1358738,6888522,16574207
0.4,aeroplane,2996730,707663,2270266,23373166
0.4,bicycle,953888,617260,4484165,17628484
0.4,bird,2569526,1814606,2414734,29561530
0.4,boat,2094646,768267,3584190,19188724
0.4,bottle,2124893,1314070,4989473,22232270
0.4,bus,4613062,4083312,2721374,14532752
0.4,car,4547772,2540431,6897875,28772500
0.4,cat,7360837,5112629,2540894,27060453
0.4,chair,2223544,2751740,10816715,29771156
0.4,cow,3054204,1973565,1390883,16644941
0.4,diningtable,2318606,3927776,3571518,16853765
0.4,dog,5755044,3624296,2075996,30487641
0.4,horse,3116405,1809271,1822603,17836152
0.4,motorbike,3503189,1972892,3033077,18189459
0.4,person,10862958,14124038,21687085,100542478
0.4,pottedplant,1295008,1609894,4259867,20693263
0.4,sheep,2477991,1709277,1274324,15493932
0.4,sofa,3119759,3971705,5247005,18744733
0.4,train,5263739,2639504,4631361,16043392
0.4,tvmonitor,2524427,1596562,4845864,18616865
0.5,aeroplane,2699225,1005168,1816190,23827242
0.5,bicycle,779714,791434,3750063,18362586
0.5,bird,2152946,2231186,1534393,30441871
0.5,boat,1858258,1004655,2664926,20107988
0.5,bottle,1705061,1733902,3913103,23308640
0.5,bus,3922764,4773610,2392212,14861914
0.5,car,3854167,3234036,5392904,30277471
0.5,cat,6306373,6167093,2046708,27554639
0.5,chair,1682120,3293164,7932829,32655042
0.5,cow,2399526,2628243,756136,17279688
0.5,diningtable,1942692,4303690,2896109,17529174
0.5,dog,4932194,4447146,1516891,31046746
0.5,horse,2501089,2424587,1237526,18421229
0.5,motorbike,2887831,2588250,2442407,18780129
0.5,person,8846630,16140366,16878511,105351052
0.5,pottedplant,1046294,1858608,3104195,21848935
0.5,sheep,2080140,2107128,751344,16016912
0.5,sofa,2443114,4648350,3771087,20220651
0.5,train,4430039,3473204,3556938,17117815
0.5,tvmonitor,2053301,2067688,3597977,19864752
0.6,aeroplane,2309896,1394497,1184681,24458751
0.6,bicycle,682153,888995,3093249,19019400
0.6,bird,1979316,2404816,1383728,30592536
0.6,boat,1616389,1246524,2077236,20695678
0.6,bottle,1323304,2115659,3190617,24031126
0.6,bus,2962773,5733601,1716056,15538070
0.6,car,3071987,4016216,4412899,31257476
0.6,cat,4990881,7482585,1199082,28402265
0.6,chair,1329211,3646073,5561149,35026722
0.6,cow,2049415,2978354,524490,17511334
0.6,diningtable,1625075,4621307,1936556,18488727
0.6,dog,3777503,5601837,1045785,31517852
0.6,horse,2030666,2895010,878702,18780053
0.6,motorbike,2468041,3008040,2063339,19159197
0.6,person,6864535,18122461,12159896,110069667
0.6,pottedplant,753105,2151797,2087855,22865275
0.6,sheep,1717122,2470146,506691,16261565
0.6,sofa,1986631,5104833,2672558,21319180
0.6,train,3723565,4179678,2743111,17931642
0.6,tvmonitor,1617657,2503332,2475317,20987412
0.7,aeroplane,1816211,1888182,960614,24682818
0.7,bicycle,506580,1064568,2503621,19609028
0.7,bird,1673218,2710914,882276,31093988
0.7,boat,1369424,1493489,1244295,21528619
0.7,bottle,977783,2461180,2229069,24992674
0.7,bus,2132367,6564007,1054727,16199399
0.7,car,2396169,4692034,3263767,32406608
0.7,cat,3385507,9087959,809813,28791534
0.7,chair,1021784,3953500,4082976,36504895
0.7,cow,1359109,3668660,378510,17657314
0.7,diningtable,1286075,4960307,1543851,18881432
0.7,dog,2861681,6517659,851543,31712094
0.7,horse,1418072,3507604,562576,19096179
0.7,motorbike,2020459,3455622,2045246,19177290
0.7,person,5087850,19899146,9008592,113220971
0.7,pottedplant,505175,2399727,1361352,23591778
0.7,sheep,1398547,2788721,284059,16484197
0.7,sofa,1349245,5742219,1853821,22137917
0.7,train,2791533,5111710,1986791,18687962
0.7,tvmonitor,1258833,2862156,1577448,21885281
0.8,aeroplane,1195984,2508409,659792,24983640
0.8,bicycle,325129,1246019,1605346,20507303
0.8,bird,1121594,3262538,517528,31458736
0.8,boat,1004031,1858882,967776,21805138
0.8,bottle,693399,2745564,1390730,25831013
0.8,bus,1283068,7413306,772418,16481708
0.8,car,1605832,5482371,2261710,33408665
0.8,cat,2581210,9892256,533766,29067581
0.8,chair,678531,4296753,2527660,38060211
0.8,cow,774135,4253634,235104,17800720
0.8,diningtable,775139,5471243,980003,19445280
0.8,dog,1897850,7481490,600549,31963088
0.8,horse,1002096,3923580,386265,19272490
0.8,motorbike,1265842,4210239,1201561,20020975
0.8,person,3048419,21938577,5695890,116533673
0.8,pottedplant,255321,2649581,922717,24030413
0.8,sheep,709325,3477943,176910,16591346
0.8,sofa,741919,6349545,1122774,22868964
0.8,train,1768823,6134420,1241950,19432803
0.8,tvmonitor,760123,3360866,914962,22547767
0.9,aeroplane,525205,3179188,523195,25120237
0.9,bicycle,187580,1383568,1080739,21031910
0.9,bird,581434,3802698,366833,31609431
0.9,boat,527163,2335750,635626,22137288
0.9,bottle,398692,3040271,691395,26530348
0.9,bus,524763,8171611,374937,16879189
0.9,car,708111,6380092,1148811,34521564
0.9,cat,1112980,11360486,355270,29246077
0.9,chair,278414,4696870,1065394,39522477
0.9,cow,297873,4729896,82308,17953516
0.9,diningtable,303371,5943011,564088,19861195
