Threshold,Class,TP,FN,FP,TN
0.1,aeroplane,3688388,16005,5305133,27095240
0.1,bicycle,1553106,18042,4689231,26064416
0.1,bird,4254880,129252,3686170,39799182
0.1,boat,2828725,34188,2783935,33701606
0.1,bottle,3396482,42481,1066143,55103751
0.1,bus,8578775,117599,2053210,29399996
0.1,car,6931662,164425,2920001,67207306
0.1,cat,12234941,238525,5759159,30061741
0.1,chair,4499881,469703,5494526,80869187
0.1,cow,4886551,141218,3112419,39860983
0.1,diningtable,6049107,197275,2400399,19851120
0.1,dog,9047443,331897,4317699,36621857
0.1,horse,4869383,56293,4192022,24843724
0.1,motorbike,5429828,46253,4364445,24417237
0.1,person,23745473,1220700,19303468,241823083
0.1,pottedplant,2790866,114036,2324932,48395877
0.1,sheep,4098528,88740,2660337,47490496
0.1,sofa,6154934,936530,4158141,24315692
0.1,train,7808205,95038,3313121,21163434
0.1,tvmonitor,4064079,69849,671602,29935316
0.2,aeroplane,3645633,58760,4300742,28099631
0.2,bicycle,1518145,53003,3892703,26860944
0.2,bird,3879458,504674,2413551,41071801
0.2,boat,2764187,98726,2364822,34120719
0.2,bottle,3236475,202488,814207,55355687
0.2,bus,8185850,510524,1660549,29792657
0.2,car,6669259,426828,2338783,67788524
0.2,cat,11624424,849042,3707664,32113236
0.2,chair,4060941,908643,4681388,81682325
0.2,cow,4613821,413948,2156502,40816900
0.2,diningtable,5420378,826004,2093056,20158463
0.2,dog,8438450,940890,2511063,38428493
0.2,horse,4680152,245524,3026752,26008994
0.2,motorbike,5294804,181277,3289921,25491761
0.2,person,20674871,4291302,15343341,245783210
0.2,pottedplant,2497473,407429,1638774,49082035
0.2,sheep,3906422,280846,1887067,48263766
0.2,sofa,5091287,2000177,3589159,24884674
0.2,train,7660979,242264,2720682,21755873
0.2,tvmonitor,3915684,218244,559436,30047482
0.3,aeroplane,3541057,163336,3133550,29266823
0.3,bicycle,1430664,140484,3076128,27677519
0.3,bird,3404608,979524,1552295,41933057
0.3,boat,2583684,279229,1877162,34608379
0.3,bottle,2934734,504229,574552,55595342
0.3,bus,7383201,1313173,1206932,30246274
0.3,car,6098480,997607,1671039,68456268
0.3,cat,10564349,1909117,2316531,33504369
0.3,chair,3459927,1509657,3749862,82613851
0.3,cow,4199615,828154,1432327,41541075
0.3,diningtable,4366367,1880015,1674126,20577393
0.3,dog,7659378,1719962,1499931,39439625
0.3,horse,4358194,567482,1960525,27075221
0.3,motorbike,4925550,550531,2338995,26442687
0.3,person,16708045,8258128,11028215,250098336
0.3,pottedplant,2068381,836521,1085227,49635582
0.3,sheep,3514836,672432,1328766,48822067
0.3,sofa,4269116,2822348,2808556,25665277
0.3,train,7119513,783730,2004101,22472454
0.3,tvmonitor,3546999,586929,401830,30205088
0.4,aeroplane,3262308,442085,2113764,30286609
0.4,bicycle,1287292,283856,2343600,28410047
0.4,bird,2959942,1424190,940119,42545233
0.4,boat,2317519,545394,1428036,35057505
0.4,bottle,2454243,984720,365314,55804580
0.4,bus,6104737,2591637,829119,30624087
0.4,car,5300665,1795422,1149019,68978288
0.4,cat,9028086,3445380,1325379,34495521
0.4,chair,2683050,2286534,2861418,83502295
0.4,cow,3575680,1452089,945478,42027924
0.4,diningtable,3433231,2813151,1186998,21064521
0.4,dog,6590580,2788760,926751,40012805
0.4,horse,3835876,1089800,1238846,27796900
0.4,motorbike,4308787,1167294,1493381,27288301
0.4,person,12633735,12332438,7471990,253654561
0.4,pottedplant,1663588,1241314,630116,50090693
0.4,sheep,2968449,1218819,878873,49271960
0.4,sofa,3368952,3722512,2151472,26322361
0.4,train,6258112,1645131,1383493,23093062
0.4,tvmonitor,3099605,1034323,275738,30331180
0.5,aeroplane,3003966,700427,1414715,30985658
0.5,bicycle,1014164,556984,1702248,29051399
0.5,bird,2546956,1837176,589336,42896016
0.5,boat,1954658,908255,980258,35505283
0.5,bottle,1905384,1533579,225185,55944709
0.5,bus,4954818,3741556,561965,30891241
0.5,car,4324376,2771711,734288,69393019
0.5,cat,7748765,4724701,784198,35036702
0.5,chair,1737643,3231941,1989592,84374121
0.5,cow,2976358,2051411,601435,42371967
0.5,diningtable,2602032,3644350,860358,21391161
0.5,dog,5652975,3726365,593764,40345792
0.5,horse,3309204,1616472,744985,28290761
0.5,motorbike,3600529,1875552,931103,27850579
0.5,person,8701060,16265113,4928938,256197613
0.5,pottedplant,1172090,1732812,360826,50359983
0.5,sheep,2503345,1683923,544686,49606147
0.5,sofa,2469346,4622118,1511619,26962214
0.5,train,5145660,2757583,927665,23548890
0.5,tvmonitor,2451143,1682785,180922,30425996
0.6,aeroplane,2575947,1128446,909383,31490990
0.6,bicycle,804351,766797,1251309,29502338
0.6,bird,2199751,2184381,330141,43155211
0.6,boat,1676232,1186681,658884,35826657
0.6,bottle,1383042,2055921,125625,56044269
0.6,bus,3541995,5154379,397066,31056140
0.6,car,3218358,3877729,496971,69630336
0.6,cat,6223411,6250055,428925,35391975
0.6,chair,1307561,3662023,1265170,85098543
0.6,cow,2434996,2592773,349293,42624109
0.6,diningtable,1780833,4465549,580789,21670730
0.6,dog,4688686,4690654,342302,40597254
0.6,horse,2723585,2202091,464979,28570767
0.6,motorbike,2752020,2724061,616035,28165647
0.6,person,6140519,18825654,3088561,258037990
0.6,pottedplant,834382,2070520,205802,50515007
0.6,sheep,1955935,2231333,363279,49787554
0.6,sofa,1623093,5468371,1103308,27370525
0.6,train,4003038,3900205,586022,23890533
0.6,tvmonitor,1843992,2289936,114451,30492467
0.7,aeroplane,1929305,1775088,557958,31842415
0.7,bicycle,597345,973803,852923,29900724
0.7,bird,1768153,2615979,194074,43291278
0.7,boat,1359984,1502929,390944,36094597
0.7,bottle,1044137,2394826,71835,56098059
0.7,bus,2508442,6187932,234728,31218478
0.7,car,2382976,4713111,337856,69789451
0.7,cat,4318067,8155399,231457,35589443
0.7,chair,858451,4111133,801589,85562124
0.7,cow,1748285,3279484,211936,42761466
0.7,diningtable,1117177,5129205,373013,21878506
0.7,dog,3437053,5942287,181972,40757584
0.7,horse,2023209,2902467,272349,28763397
0.7,motorbike,1984025,3492056,391914,28389768
0.7,person,3923320,21042853,1853136,259273415
0.7,pottedplant,548918,2355984,96539,50624270
0.7,sheep,1559826,2627442,250011,49900822
0.7,sofa,1058774,6032690,748947,27724886
0.7,train,3027954,4875289,354812,24121743
0.7,tvmonitor,1342633,2791295,54644,30552274
0.8,aeroplane,1322928,2381465,273669,32126704
0.8,bicycle,375185,1195963,458333,30295314
0.8,bird,1249840,3134292,94816,43390536
