Threshold,Class,TP,FN,FP,TN
0.8,boat,922721,1940192,209849,36275692
0.8,bottle,677399,2761564,47527,56122367
0.8,bus,1502086,7194288,110679,31342527
0.8,car,1548606,5547481,191120,69936187
0.8,cat,2661915,9811551,98049,35722851
0.8,chair,423808,4545776,428154,85935559
0.8,cow,1216677,3811092,117084,42856318
0.8,diningtable,708160,5538222,204890,22046629
0.8,dog,2283299,7096041,84287,40855269
0.8,horse,1340347,3585329,159581,28876165
0.8,motorbike,1314418,4161663,230052,28551630
0.8,person,2191508,22774665,1023232,260103319
0.8,pottedplant,279429,2625473,47388,50673421
0.8,sheep,929564,3257704,135649,50015184
0.8,sofa,581978,6509486,474195,27999638
0.8,train,1839932,6063311,187564,24288991
0.8,tvmonitor,788978,3344950,15334,30591584
0.9,aeroplane,671425,3032968,95401,32304972
0.9,bicycle,170104,1401044,197213,30556434
0.9,bird,653581,3730551,24513,43460839
0.9,boat,497629,2365284,81618,36403923
0.9,bottle,360935,3078028,14629,56155265
0.9,bus,666754,8029620,45000,31408206
0.9,car,701800,6394287,82463,70044844
0.9,cat,1186943,11286523,36996,35783904
0.9,chair,116683,4852901,178959,86184754
0.9,cow,500681,4527088,46718,42926684
0.9,diningtable,303476,5942906,65075,22186444
0.9,dog,1064643,8314697,39765,40899791
0.9,horse,586422,4339254,64734,28971012
0.9,motorbike,588174,4887907,81035,28700647
0.9,person,900401,24065772,413527,260713024
0.9,pottedplant,113299,2791603,36615,50684194
0.9,sheep,388370,3798898,42612,50108221
0.9,sofa,198380,6893084,194055,28279778
0.9,train,774880,7128363,76016,24400539
0.9,tvmonitor,321352,3812576,3141,30603777
