Threshold,Class,TP,FN,FP,TN
0.7,boat,1302497,1560416,152907,36332634
0.7,bottle,940264,2498699,10525,56159369
0.7,bus,1612121,7084253,83673,31369533
0.7,car,1912574,5183513,179088,69948219
0.7,cat,2829929,9643537,97204,35723696
0.7,chair,680153,4289431,318681,86045032
0.7,cow,1173525,3854244,86118,42887284
0.7,diningtable,828150,5418232,141567,22109952
0.7,dog,2521939,6857401,105526,40834030
0.7,horse,1287231,3638445,71392,28964354
0.7,motorbike,1399967,4076114,204785,28576897
0.7,person,3694535,21271638,856190,260270361
0.7,pottedplant,457271,2447631,19072,50701737
0.7,sheep,1010402,3176866,50659,50100174
0.7,sofa,1009691,6081773,344252,28129581
0.7,train,2043634,5859609,152668,24323887
0.7,tvmonitor,1127069,3006859,22394,30584524
0.8,aeroplane,1150814,2553579,114420,32285953
0.8,bicycle,190573,1380575,242119,30511528
0.8,bird,1007558,3376574,29160,43456192
0.8,boat,957064,1905849,128745,36356796
0.8,bottle,553048,2885915,6513,56163381
0.8,bus,918229,7778145,35473,31417733
0.8,car,1180441,5915646,114917,70012390
0.8,cat,2211195,10262271,54528,35766372
0.8,chair,391873,4577711,200868,86162845
0.8,cow,615547,4412222,45625,42927777
0.8,diningtable,489177,5757205,91546,22159973
0.8,dog,1585025,7794315,34069,40905487
0.8,horse,865898,4059778,44657,28991089
0.8,motorbike,1068204,4407877,160079,28621603
0.8,person,2236800,22729373,522216,260604335
0.8,pottedplant,254580,2650322,12597,50708212
0.8,sheep,517690,3669578,9128,50141705
0.8,sofa,527407,6564057,280137,28193696
0.8,train,1313073,6590170,95748,24380807
0.8,tvmonitor,721440,3412488,5944,30600974
0.9,aeroplane,513805,3190588,95006,32305367
0.9,bicycle,124960,1446188,148395,30605252
0.9,bird,532068,3852064,8431,43476921
0.9,boat,491545,2371368,52260,36433281
0.9,bottle,277582,3161381,1162,56168732
0.9,bus,397270,8299104,15728,31437478
0.9,car,525332,6570755,68715,70058592
0.9,cat,880154,11593312,26596,35794304
0.9,chair,159603,4809981,91671,86272042
0.9,cow,240533,4787236,12936,42960466
0.9,diningtable,156214,6090168,53387,22198132
0.9,dog,658923,8720417,24316,40915240
0.9,horse,198995,4726681,22091,29013655
0.9,motorbike,470857,5005224,67554,28714128
0.9,person,879324,24086849,215401,260911150
0.9,pottedplant,126114,2778788,4368,50716441
0.9,sheep,240605,3946663,741,50150092
0.9,sofa,202505,6888959,158407,28315426
0.9,train,490733,7412510,38408,24438147
0.9,tvmonitor,295422,3838506,938,30605980
