Threshold,Class,TP,FN,FP,TN
0.1,aeroplane,3376429,327964,1313214,31087159
0.1,bicycle,978357,592791,1609521,29144126
0.1,bird,3494781,889351,340975,43144377
0.1,boat,2377108,485805,607382,35878159
0.1,bottle,2681054,757909,103914,56065980
0.1,bus,6733694,1962680,412842,31040364
0.1,car,5833902,1262185,651810,69475497
0.1,cat,10234246,2239220,1225429,34595471
0.1,chair,3098176,1871408,1844687,84519026
0.1,cow,3508022,1519747,553111,42420291
0.1,diningtable,3837544,2408838,831600,21419919
0.1,dog,7744438,1634902,883739,40055817
0.1,horse,3904437,1021239,1021532,28014214
0.1,motorbike,3964766,1511315,995219,27786463
0.1,person,17210162,7756011,4936276,256190275
0.1,pottedplant,1845640,1059262,531816,50188993
0.1,sheep,3176194,1011074,646115,49504718
0.1,sofa,4678291,2413173,1786774,26687059
0.1,train,6181128,1722115,624348,23852207
0.1,tvmonitor,3508161,625767,113678,30493240
0.2,aeroplane,3175562,528831,925454,31474919
0.2,bicycle,862596,708552,1332146,29421501
0.2,bird,3091257,1292875,207948,43277404
0.2,boat,2235406,627507,513315,35972226
0.2,bottle,2376110,1062853,92156,56077738
0.2,bus,5840964,2855410,313462,31139744
0.2,car,5392853,1703234,562346,69564961
0.2,cat,8798190,3675276,753570,35067330
0.2,chair,2554837,2414747,1487384,84876329
0.2,cow,3130094,1897675,362100,42611302
0.2,diningtable,2808593,3437789,662648,21588871
0.2,dog,6621113,2758227,567085,40372471
0.2,horse,3545752,1379924,615902,28419844
0.2,motorbike,3595553,1880528,771880,28009802
0.2,person,14399262,10566911,3762936,257363615
0.2,pottedplant,1695601,1209301,395354,50325455
0.2,sheep,2888595,1298673,433702,49717131
0.2,sofa,3928361,3163103,1434101,27039732
0.2,train,5523663,2379580,527850,23948705
0.2,tvmonitor,3318095,815833,87009,30519909
0.3,aeroplane,2968839,735554,661155,31739218
0.3,bicycle,760799,810349,1129238,29624409
0.3,bird,2814748,1569384,164225,43321127
0.3,boat,2113630,749283,417593,36067948
0.3,bottle,2022382,1416581,78286,56091608
0.3,bus,4999102,3697272,263099,31190107
0.3,car,4633663,2462424,471116,69656191
0.3,cat,7367191,5106275,478310,35342590
0.3,chair,2114333,2855251,1181105,85182608
0.3,cow,2762696,2265073,250939,42722463
0.3,diningtable,2094772,4151610,474359,21777160
0.3,dog,5683873,3695467,383081,40556475
0.3,horse,3176553,1749123,417975,28617771
0.3,motorbike,3294910,2181171,617601,28164081
0.3,person,11674348,13291825,2795880,258330671
0.3,pottedplant,1296965,1607937,243651,50477158
0.3,sheep,2503077,1684191,316947,49833886
0.3,sofa,3467742,3623722,1017559,27456274
0.3,train,4889431,3013812,421367,24055188
0.3,tvmonitor,3085262,1048666,65670,30541248
0.4,aeroplane,2827134,877259,506301,31894072
0.4,bicycle,635440,935708,856115,29897532
0.4,bird,2472500,1911632,111878,43373474
0.4,boat,1901643,961270,301628,36183913
0.4,bottle,1728903,1710060,51024,56118870
0.4,bus,3985255,4711119,222731,31230475
0.4,car,3984041,3112046,347983,69779324
0.4,cat,6422311,6051155,372981,35447919
0.4,chair,1871622,3097962,897295,85466418
0.4,cow,2461945,2565824,192370,42781032
0.4,diningtable,1692337,4554045,380660,21870859
0.4,dog,5119240,4260100,268594,40670962
0.4,horse,2709106,2216570,309997,28725749
0.4,motorbike,2840613,2635468,456424,28325258
0.4,person,9480597,15485576,2175628,258950923
0.4,pottedplant,1015327,1889575,185780,50535029
0.4,sheep,2173373,2013895,205823,49945010
0.4,sofa,2851964,4239500,747819,27726014
0.4,train,4364053,3539190,357709,24118846
0.4,tvmonitor,2670536,1463392,50212,30556706
0.5,aeroplane,2487951,1216442,374989,32025384
0.5,bicycle,537563,1033585,696263,30057384
0.5,bird,2090381,2293751,76052,43409300
0.5,boat,1695378,1167535,255075,36230466
0.5,bottle,1412027,2026936,32633,56137261
0.5,bus,3255607,5440767,158129,31295077
0.5,car,3355783,3740304,313341,69813966
0.5,cat,5170033,7303433,243393,35577507
0.5,chair,1308136,3661448,565432,85798281
0.5,cow,2009628,3018141,148512,42824890
0.5,diningtable,1399105,4847277,321086,21930433
0.5,dog,4226080,5153260,204554,40735002
0.5,horse,2305141,2620535,196970,28838776
0.5,motorbike,2221392,3254689,322960,28458722
0.5,person,7401642,17564531,1652859,259473692
0.5,pottedplant,787648,2117254,92141,50628668
0.5,sheep,1733792,2453476,127526,50023307
0.5,sofa,2085739,5005725,577689,27896144
0.5,train,3491109,4412134,267129,24209426
0.5,tvmonitor,2090021,2043907,37883,30569035
0.6,aeroplane,2169225,1535168,284755,32115618
0.6,bicycle,433467,1137681,549842,30203805
0.6,bird,1761398,2622734,62558,43422794
0.6,boat,1501065,1361848,187690,36297851
0.6,bottle,1130123,2308840,25977,56143917
0.6,bus,2321690,6374684,116430,31336776
0.6,car,2579996,4516091,260108,69867199
0.6,cat,4121199,8352267,158636,35662264
0.6,chair,973859,3995725,453299,85910414
0.6,cow,1666533,3361236,113184,42860218
0.6,diningtable,1096137,5150245,206169,22045350
0.6,dog,3176187,6203153,136862,40802694
0.6,horse,1854272,3071404,151398,28884348
0.6,motorbike,1911651,3564430,274097,28507585
0.6,person,5320991,19645182,1191865,259934686
0.6,pottedplant,653320,2251582,59775,50661034
0.6,sheep,1295517,2891751,94874,50055959
0.6,sofa,1496186,5595278,449007,28024826
0.6,train,2740793,5162450,228454,24248101
0.6,tvmonitor,1596472,2537456,27496,30579422
0.7,aeroplane,1719668,1984725,192197,32208176
0.7,bicycle,348577,1222571,405598,30348049
0.7,bird,1557474,2826658,47013,43438339
