Technique,Metric,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mIoU,fwIoU,mAccuracy
cam 0.3,IoU,34.6,20.3,29.4,25.6,23.3,37.8,31.4,42.7,12.7,37.2,21.7,42.6,37.0,39.7,20.1,18.3,45.6,21.2,37.6,21.6,30.0,30.4,76.4
cam 0.3,Accuracy,82.4,83.3,84.2,76.8,76.1,71.2,76.5,79.8,63.6,82.1,67.5,84.8,82.2,81.2,71.8,75.8,85.8,61.4,71.6,69.7,30.0,30.4,76.4
grabcut-cam PF PB 0.3,IoU,44.6,15.9,38.1,30.1,22.9,46.5,32.4,53.6,13.5,49.3,26.3,52.1,45.4,42.9,23.4,19.7,48.9,25.2,41.9,25.1,34.9,35.8,76.9
grabcut-cam PF PB 0.3,Accuracy,86.8,76.9,86.8,79.0,74.3,74.8,74.6,82.2,61.9,84.6,68.9,86.2,83.5,79.4,70.8,75.8,85.3,64.4,72.0,70.1,34.9,35.8,76.9
grabcut-cam F PF 0.7,IoU,13.8,7.6,13.3,12.4,12.4,35.8,19.2,33.5,11.5,22.5,25.6,26.0,23.7,22.8,18.2,12.4,23.9,23.1,31.0,15.8,20.2,22.4,31.6
grabcut-cam F PF 0.7,Accuracy,23.3,23.5,24.1,23.3,22.5,42.6,30.7,42.7,20.6,35.7,39.6,38.1,39.3,32.3,32.9,29.6,36.8,31.7,40.6,22.5,20.2,22.4,31.6
grabcut-cam F PB 0.5,IoU,39.2,15.1,32.5,25.8,22.5,42.8,31.6,53.5,14.2,50.5,23.5,51.2,45.7,41.4,22.6,18.1,49.0,26.3,42.3,25.5,33.7,34.8,76.1
grabcut-cam F PB 0.5,Accuracy,83.8,72.6,84.4,75.1,73.7,72.9,74.2,82.6,62.7,85.9,66.7,86.4,84.1,78.6,70.5,73.4,85.8,65.3,72.4,70.5,33.7,34.8,76.1
