Technique,Metric,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mIoU,fwIoU,mAccuracy
grabcut-cam PF PB 0.1,IoU,67.3,30.8,74.0,68.5,75.7,73.9,75.3,74.7,45.5,62.9,54.2,75.5,65.7,61.3,57.6,53.7,65.7,52.7,72.5,82.6,64.5,65.4,94.8
grabcut-cam PF PB 0.1,Accuracy,95.5,93.2,97.4,97.2,98.6,94.1,97.5,92.8,95.9,95.7,88.6,95.0,94.0,92.7,95.6,97.0,97.0,88.2,92.8,97.9,64.5,65.4,94.8
grabcut-cam F PF 0.6,IoU,56.2,32.5,74.5,61.6,81.0,84.6,79.5,77.6,48.5,72.4,68.8,78.0,67.9,66.2,62.8,63.6,69.1,56.9,81.0,86.9,68.5,70.1,95.0
grabcut-cam F PF 0.6,Accuracy,92.4,91.5,97.1,95.9,98.8,96.4,97.9,93.1,95.4,96.5,91.7,95.2,93.7,92.9,95.7,97.5,97.0,88.0,94.7,98.4,68.5,70.1,95.0
grabcut-cam F PB 0.2,IoU,45.5,27.8,57.1,52.9,76.1,79.0,70.7,71.8,42.1,64.2,65.0,71.0,58.9,60.4,51.3,55.0,64.3,47.7,72.1,83.4,60.8,62.0,92.7
grabcut-cam F PB 0.2,Accuracy,87.9,87.8,93.9,93.7,98.3,94.6,96.4,90.6,93.9,94.6,89.8,93.1,90.4,89.9,93.1,96.2,96.0,84.3,90.8,97.8,60.8,62.0,92.7
grabcut -,IoU,61.6,31.3,74.4,65.6,76.0,81.1,77.4,77.0,50.8,70.4,67.0,76.6,67.9,64.4,64.0,61.2,65.6,59.8,77.4,84.4,67.7,69.5,95.1
grabcut -,Accuracy,94.1,92.3,97.3,96.7,98.6,95.7,97.7,93.1,96.0,96.4,91.5,94.9,93.9,92.9,96.0,97.4,96.8,89.1,93.9,98.1,67.7,69.5,95.1
