Threshold,Class,TP,FN,FP,TN
0.5,bus,5245334,3451040,3569965,13684161
0.5,car,5096154,1992049,9026066,26644309
0.5,cat,8425393,4048073,3262252,26339095
0.5,chair,2809542,2165742,14828191,25759680
0.5,cow,3319026,1708743,1542516,16493308
0.5,diningtable,2724760,3521622,5363486,15061797
0.5,dog,6000875,3378465,2342570,30221067
0.5,horse,3280232,1645444,2256358,17402397
0.5,motorbike,4033402,1442679,4271418,16951118
0.5,person,12675291,12311705,31171739,91057824
0.5,pottedplant,1643436,1261466,6157101,18796029
0.5,sheep,2857065,1330203,1640635,15127621
0.5,sofa,3837948,3253516,7522658,16469080
0.5,train,5763912,2139331,5734981,14939772
0.5,tvmonitor,2779435,1341554,6790867,16671862
0.6,aeroplane,2685763,1018630,2600141,23043291
0.6,bicycle,976355,594793,5050053,17062596
0.6,bird,2406003,1978129,2444423,29531841
0.6,boat,1850544,1012369,3785001,18987913
0.6,bottle,1793170,1645793,4641121,22580622
0.6,bus,3926463,4769911,2569537,14684589
0.6,car,3904512,3183691,6245568,29424807
0.6,cat,6987303,5486163,1823004,27778343
0.6,chair,2175373,2799911,9434468,31153403
0.6,cow,2726286,2301483,1047650,16988174
0.6,diningtable,2107561,4138821,3374361,17050922
0.6,dog,4955339,4424001,1446451,31117186
0.6,horse,2647743,2277933,1372032,18286723
0.6,motorbike,3345435,2130646,3158370,18064166
0.6,person,9521326,15465670,20482237,101747326
0.6,pottedplant,1188677,1716225,3582857,21370273
0.6,sheep,2285318,1901950,859305,15908951
0.6,sofa,2759526,4331938,4952594,19039144
0.6,train,4673853,3229390,3847975,16826778
0.6,tvmonitor,2251173,1869816,4004320,19458409
0.7,aeroplane,2044448,1659945,1686397,23957035
0.7,bicycle,753836,817312,3634985,18477664
0.7,bird,1993137,2390995,1455350,30520914
0.7,boat,1607261,1255652,2359223,20413691
0.7,bottle,1305270,2133693,3145395,24076348
0.7,bus,2778280,5918094,1578146,15675980
0.7,car,2936731,4151472,4440867,31229508
0.7,cat,5266771,7206695,1023117,28578230
0.7,chair,1494482,3480802,5606888,34980983
0.7,cow,1832551,3195218,610727,17425097
0.7,diningtable,1471780,4774602,2160218,18265065
0.7,dog,3805108,5574232,1019262,31544375
0.7,horse,1964961,2960715,926550,18732205
0.7,motorbike,2564818,2911263,2548974,18673562
0.7,person,6590131,18396865,13120037,109109526
0.7,pottedplant,824657,2080245,2221383,22731747
0.7,sheep,1881644,2305624,474097,16294159
0.7,sofa,1953202,5138262,2713317,21278421
0.7,train,3471978,4431265,2772083,17902670
0.7,tvmonitor,1542369,2578620,2259208,21203521
0.8,aeroplane,1415991,2288402,936455,24706977
0.8,bicycle,427355,1143793,2152880,19959769
0.8,bird,1453330,2930802,752512,31223752
0.8,boat,1186492,1676421,1412493,21360421
0.8,bottle,909673,2529290,1879770,25341973
0.8,bus,1707779,6988595,1018991,16235135
0.8,car,2052955,5035248,2847918,32822457
0.8,cat,3504465,8969001,582484,29018863
0.8,chair,874531,4100753,3205642,37382229
0.8,cow,1177316,3850453,332191,17703633
0.8,diningtable,929582,5316800,1181706,19243577
0.8,dog,2755226,6624114,755290,31808347
0.8,horse,1368278,3557398,535580,19123175
0.8,motorbike,1705349,3770732,1541642,19680894
0.8,person,3857124,21129872,7619896,114609667
0.8,pottedplant,412607,2492295,1355504,23597626
0.8,sheep,1193275,2993993,299411,16468845
0.8,sofa,1036912,6054552,1485258,22506480
0.8,train,2399719,5503524,1708889,18965864
0.8,tvmonitor,982354,3138635,1192281,22270448
0.9,aeroplane,668550,3035843,549152,25094280
0.9,bicycle,233305,1337843,1264798,20847851
0.9,bird,700592,3683540,437939,31538325
0.9,boat,618085,2244828,781696,21991218
0.9,bottle,508886,2930077,844643,26377100
0.9,bus,767631,7928743,551135,16702991
0.9,car,868571,6219632,1357082,34313293
0.9,cat,1514004,10959462,405598,29195749
0.9,chair,352662,4622622,1433820,39154051
0.9,cow,472348,4555421,89614,17946210
0.9,diningtable,394027,5852355,627183,19798100
0.9,dog,1192292,8187048,382252,32181385
0.9,horse,555648,4370028,219178,19439577
0.9,motorbike,744285,4731796,617443,20605093
0.9,person,1610997,23375999,3454596,118774967
0.9,pottedplant,160502,2744400,541846,24411284
0.9,sheep,518326,3668942,54562,16713694
0.9,sofa,418597,6672867,731928,23259810
0.9,train,1050359,6852884,687399,19987354
0.9,tvmonitor,452533,3668456,467259,22995470
