Threshold,Class,TP,FN,FP,TN
0.1,aeroplane,3686592,17801,20034182,5609250
0.1,bicycle,1560605,10543,17659261,4453388
0.1,bird,4311759,72373,23794836,8181428
0.1,boat,2845312,17601,18675396,4097518
0.1,bottle,3421142,17821,24180777,3040966
0.1,bus,8582599,113775,14276716,2977410
0.1,car,7045704,42499,29653540,6016835
0.1,cat,12373583,99883,22169449,7431898
0.1,chair,4920125,55159,38507526,2080345
0.1,cow,4688520,339249,12717836,5317988
0.1,diningtable,5921151,325231,17539185,2886098
0.1,dog,9185912,193428,20290193,12273444
0.1,horse,4815182,110494,14082996,5575759
0.1,motorbike,5415637,60444,16890443,4332093
0.1,person,24184377,802619,106328443,15901120
0.1,pottedplant,2811475,93427,22111998,2841132
0.1,sheep,4165052,22216,11397382,5370874
0.1,sofa,6827450,264014,22308794,1682944
0.1,train,7816005,87238,17281631,3393122
0.1,tvmonitor,4105144,15845,22614956,847773
0.2,aeroplane,3655737,48656,14073222,11570210
0.2,bicycle,1528427,42721,13700308,8412341
0.2,bird,4011531,372601,15112796,16863468
0.2,boat,2795403,67510,14370785,8402129
0.2,bottle,3334742,104221,19083494,8138249
0.2,bus,8239092,457282,10901834,6352292
0.2,car,6932857,155346,23133058,12537317
0.2,cat,12070797,402669,13262199,16339148
0.2,chair,4661157,314127,35112173,5475698
0.2,cow,4470756,557013,7263082,10772742
0.2,diningtable,5504982,741400,14756496,5668787
0.2,dog,8643928,735412,10185556,22378081
0.2,horse,4650627,275049,8825472,10833283
0.2,motorbike,5337775,138306,11984877,9237659
0.2,person,22723337,2263659,86760939,35468624
0.2,pottedplant,2645808,259094,18067365,6885765
0.2,sheep,4060524,126744,7087973,9680283
0.2,sofa,6466067,625397,19889996,4101742
0.2,train,7662209,241034,13961735,6713018
0.2,tvmonitor,4034472,86517,19908349,3554380
0.3,aeroplane,3513246,191147,9800312,15843120
0.3,bicycle,1395987,175161,9935802,12176847
0.3,bird,3607301,776831,9839675,22136589
0.3,boat,2714677,148236,10719453,12053461
0.3,bottle,3120802,318161,14412709,12809034
0.3,bus,7477459,1218915,8051376,9202750
0.3,car,6511892,576311,17468607,18201768
0.3,cat,11212002,1261464,7886030,21715317
0.3,chair,4178091,797193,29575693,11012178
0.3,cow,4256171,771598,4207331,13828493
0.3,diningtable,4627936,1618446,11171719,9253564
0.3,dog,7932953,1446387,5904842,26658795
0.3,horse,4247476,678200,5404578,14254177
0.3,motorbike,5122062,354019,8478696,12743840
0.3,person,19925833,5061163,64905902,57323661
0.3,pottedplant,2309831,595071,13366351,11586779
0.3,sheep,3774825,412443,4041411,12726845
0.3,sofa,5865935,1225529,16371289,7620449
0.3,train,7287952,615291,10682696,9992057
0.3,tvmonitor,3833492,287497,14813805,8648924
0.4,aeroplane,3316511,387882,6261999,19381433
0.4,bicycle,1293527,277621,7820855,14291794
0.4,bird,3177541,1206591,6320144,25656120
0.4,boat,2488755,374158,7685388,15087526
0.4,bottle,2792209,646754,10340739,16881004
0.4,bus,6399021,2297353,5571371,11682755
0.4,car,6022230,1065973,12903874,22766501
0.4,cat,9667191,2806275,4870954,24730393
0.4,chair,3678453,1296831,21670340,18917531
0.4,cow,3845646,1182123,2583008,15452816
0.4,diningtable,3516676,2729706,7634723,12790560
0.4,dog,6919135,2460205,3768451,28795186
0.4,horse,3857854,1067822,3479347,16179408
0.4,motorbike,4764319,711762,5854573,15367963
0.4,person,16353737,8633259,45666542,76563021
0.4,pottedplant,1987261,917641,9051948,15901182
0.4,sheep,3350930,836338,2565795,14202461
0.4,sofa,4827832,2263632,11801907,12189831
0.4,train,6665001,1238242,8022846,12651907
0.4,tvmonitor,3273240,847749,10354073,13108656
0.5,aeroplane,3065038,639355,4113764,21529668
0.5,bicycle,1155342,415806,6066332,16046317
0.5,bird,2726386,1657746,3996466,27979798
0.5,boat,2223673,639240,5754771,17018143
0.5,bottle,2343182,1095781,6974043,20247700
