Name,Class,IoU,Accuracy
2007_000032,aeroplane,0.06743593586093212,0.8618594842576492
2007_000032,person,0.02119780360107266,0.8298494209922676
2007_000033,aeroplane,0.4469852179851519,0.8563942678985155
2007_000039,tvmonitor,0.7330899779345664,0.946914449802243
2007_000042,train,0.11644821818027823,0.47014044087769197
2007_000061,boat,0.11904654162047197,0.517279641947222
2007_000063,chair,1.1528174859356267e-05,0.5148221896569083
2007_000063,dog,0.9851403609281009,0.997678789166937
2007_000068,bird,0.23437545997821543,0.7156811299509145
2007_000121,tvmonitor,0.08529815451056501,0.418182424805236
2007_000123,train,0.0001356300013563,0.5969404213208238
2007_000129,bicycle,0.3262013973562484,0.534923020405437
2007_000129,person,0.6378037643955152,0.8092575894198978
2007_000170,bottle,0.0038153428377460962,0.5928355392768945
2007_000170,person,0.5634445166775016,0.7577679735841727
2007_000175,sheep,0.8907812559868195,0.962728330652859
2007_000187,tvmonitor,0.2781251465461992,0.499259958037181
2007_000241,boat,0.08799211275179816,0.5547679601826784
2007_000243,aeroplane,0.9971291866028709,0.999963647820081
2007_000250,bottle,0.008660651697080704,0.7603153515174378
2007_000250,diningtable,0.30663544909563384,0.7053256573012514
2007_000256,aeroplane,0.38811439700681666,0.8538775060586032
2007_000323,person,0.00015508684863523573,0.21926381786455437
2007_000332,horse,0.6587108484918703,0.9437273543514668
2007_000333,train,0.00023586928553049146,0.7125657322869596
2007_000346,bottle,0.2813778200807759,0.8451582506512942
2007_000346,person,0.018171216412404503,0.5426694750845297
2007_000363,bird,0.17708003354141433,0.7188745305239035
2007_000364,motorbike,0.5566273125608568,0.831797062133849
2007_000364,person,0.05897056100722089,0.5306340365357421
2007_000392,horse,0.0,0.905607107869816
2007_000392,person,0.008456659619450317,0.5596903232828998
2007_000452,chair,0.0,0.660232715819864
2007_000452,sofa,0.05681588826545029,0.4889547472714945
2007_000464,cow,0.9713229978311511,0.9980582946714602
2007_000480,aeroplane,0.23840894965817278,0.5786348787896155
2007_000480,person,0.29879114840901144,0.6782050547309302
2007_000491,cow,0.30627448109236005,0.5333624717593248
2007_000504,cow,0.7567686550737398,0.9723835610960602
2007_000504,person,0.17187729340965802,0.8871949695594366
2007_000515,bicycle,0.0,0.998018522978565
2007_000515,car,0.029845190110651846,0.5863146716878681
2007_000515,person,0.011321701650281936,0.6333774877936637
2007_000528,cat,0.761077248951714,0.9698396760780119
2007_000529,boat,0.1563848765609714,0.6065567170788658
2007_000529,car,0.00305379375146817,0.9715240408486426
2007_000549,cat,0.39917668295689696,0.5551214900460749
2007_000559,bottle,0.0,0.8311213043381683
2007_000559,tvmonitor,0.6060821344700333,0.8891523578933339
2007_000572,bicycle,0.13695256451440196,0.9470200416740615
2007_000584,bicycle,0.35500832257361975,0.7577432529550275
2007_000584,sofa,0.2538520963550811,0.6896154812473342
2007_000629,person,0.0,0.9847097294310534
2007_000629,train,0.1308667248697956,0.7384892705417719
2007_000636,train,0.4991551347414421,0.787042829271314
2007_000645,bird,0.27708656883103283,0.7699019689522064
2007_000648,aeroplane,0.05411012481719552,0.6491506928807059
2007_000648,bus,0.36533176003338463,0.7218069773749377
2007_000648,car,0.006501505611825897,0.8168675610725301
2007_000648,person,0.0,0.9671946058117459
2007_000661,chair,0.010975923780095275,0.8300648172728077
2007_000661,pottedplant,0.039305949008498584,0.8349537651535263
2007_000661,sofa,0.3669425380164177,0.8959328820458367
2007_000663,bus,0.09628200083690894,0.28341570674405475
2007_000663,car,0.0911548644516538,0.7585996850331309
2007_000676,sheep,0.9643662098809953,0.9913533793465539
2007_000713,boat,0.6714166201896263,0.9280036172331833
2007_000720,dog,0.5018515978603758,0.9557491395327586
2007_000727,bus,0.1516848155215558,0.5887598874437773
2007_000727,car,0.04918886441017424,0.4740655396273237
2007_000727,person,0.0,0.8836937495845612
2007_000733,motorbike,0.5819577998320221,0.8682992682992683
2007_000733,person,0.026814933003370182,0.6772200772200773
2007_000738,aeroplane,0.4232416661493575,0.8266529015566598
2007_000762,bottle,0.33905364499169266,0.8281341547857891
2007_000762,diningtable,0.22338423620709755,0.7240026277009393
2007_000762,person,0.325523553698453,0.8395090223650492
2007_000768,bus,0.6428755599961324,0.7559898700726713
2007_000783,horse,0.0015757681869911582,0.6028741692864817
2007_000783,person,0.07380721941427394,0.6144195948903657
2007_000793,bicycle,0.0001923076923076923,0.9690977175463623
2007_000793,bus,0.043577335688864995,0.7779660009510223
2007_000793,person,0.08275063895452572,0.8869412743699477
2007_000799,horse,0.6875143221920319,0.9100622323561142
2007_000799,person,0.37130883802999637,0.7717189038437078
2007_000804,chair,0.1563400212260575,0.5859284890426759
2007_000804,sofa,0.00010883169178864886,0.7721099825129293
2007_000822,motorbike,0.38908785674314494,0.8182832032225311
2007_000830,chair,0.02494514378103707,0.5704546610816219
2007_000830,diningtable,0.11392980256972736,0.6803353287997241
2007_000836,horse,0.39602840729180805,0.9092811523304797
2007_000836,person,0.4360469011725293,0.9428115233047969
2007_000837,boat,0.06597391728851384,0.8024223290945033
2007_000847,diningtable,0.23506181318681318,0.6823860395735533
2007_000847,person,0.4805788506386199,0.8155574079761331
2007_000862,boat,0.35371589840075257,0.9963232539470164
2007_000862,person,0.10114702815432743,0.9953866738025153
2007_000876,cat,0.00045653166373182025,0.6189884274509316
2007_000904,cow,0.08108108108108109,0.7698915566720123
2007_000904,horse,0.08130583942490696,0.5750636417669421
2007_000904,person,0.29703467917574133,0.8823608572293683
2007_000925,sheep,0.7504404689299993,0.9118263222161036
2007_000999,bottle,0.003927803235761714,0.8825708505372017
2007_000999,person,0.9651484397653514,0.9827731625166066
2007_001027,bicycle,0.0,0.7925782826826596
2007_001027,chair,0.1309500990352054,0.8431290006343348
2007_001027,sofa,0.19894353098727774,0.8137304653710858
2007_001027,tvmonitor,0.12278725458641776,0.8742633066143821
2007_001073,cow,0.4218494519469509,0.9457874085052498
2007_001149,pottedplant,0.013547104151130997,0.9062656848793335
2007_001149,sofa,5.780680964217585e-05,0.6935713399979924
2007_001149,tvmonitor,0.5528596187175043,0.9862888320706698
2007_001154,pottedplant,0.004028099398704003,0.7232073808480837
2007_001154,sofa,0.35826714801444043,0.8077345317477056
2007_001175,person,6.321312304434401e-05,0.7894193840398837
2007_001175,tvmonitor,0.0933437265109546,0.7832225084366701
2007_001185,bottle,0.09783204690202033,0.7627119584209271
2007_001185,cat,0.0,0.6799587315498411
2007_001185,diningtable,0.5637574924598175,0.8732381866288003
2007_001185,person,0.6665166148305779,0.9095976880792975
2007_001225,dog,0.6773800827854882,0.9639082588799303
2007_001239,dog,0.9749465772603345,0.9942858423340654
2007_001284,person,0.6849753965006138,0.8214071500514921
2007_001288,aeroplane,0.3334389548346211,0.8299992540282475
2007_001289,bird,0.9921662669864109,0.9996766252879025
2007_001299,cow,0.503179579041648,0.8062048003353947
2007_001311,bicycle,0.0004603698304304458,0.9073767286430374
2007_001311,person,0.2082314897751598,0.6291869600767891
2007_001321,car,0.09920519998712875,0.48377539416664106
2007_001340,chair,0.0,0.7207828971952034
2007_001340,dog,0.0,0.8252861979550009
2007_001340,person,0.26957865811770093,0.7832878511657401
2007_001377,aeroplane,0.47928994082840237,0.9970872340308158
2007_001397,dog,0.8183686373695859,0.9930004751635659
2007_001408,bottle,0.3144202472042378,0.8880078968790662
2007_001408,person,0.05384230009184781,0.5642038061418746
2007_001408,pottedplant,0.0,0.828518501900507
2007_001416,sheep,0.19944878789583217,0.44503148577778645
2007_001420,horse,0.34188632980120853,0.9525601126184419
2007_001420,person,0.16200385887541346,0.8464626825157344
2007_001420,pottedplant,0.07171153690678309,0.7100706390339054
2007_001423,person,0.40999081377300517,0.8838481157901957
2007_001430,diningtable,0.8825876662636034,0.9836442038831681
2007_001430,person,0.36632773164192767,0.7823550549685012
2007_001430,pottedplant,0.0,0.7866110431101279
2007_001430,tvmonitor,0.5758967629046369,0.9782259604047119
