Name,Class,IoU
2007_000032,aeroplane,0.06453558504221954
2007_000032,person,0.010221055374070585
2007_000033,aeroplane,0.3433576257792607
2007_000039,tvmonitor,0.3213078650705392
2007_000042,train,0.842154766994442
2007_000061,boat,0.11822433575217865
2007_000063,chair,0.023039626699719297
2007_000063,dog,0.3164400210975302
2007_000068,bird,0.21984739144233026
2007_000121,tvmonitor,0.0741332558589967
2007_000123,train,0.0007730910077309099
2007_000129,bicycle,0.20846799237838576
2007_000129,person,0.5694512967531169
2007_000170,bottle,0.007153669106517095
2007_000170,person,0.5490022971938201
2007_000175,sheep,0.9265089959373186
2007_000187,tvmonitor,0.37688616054998597
2007_000241,boat,0.06775334195774041
2007_000243,aeroplane,0.9971291866028708
2007_000250,bottle,0.09269880932099116
2007_000250,diningtable,0.3146139200879109
2007_000256,aeroplane,0.43459743290548425
2007_000323,person,0.0018676700815732372
2007_000332,horse,0.0
2007_000333,train,0.3117194299083378
2007_000346,bottle,0.2587078166983016
2007_000346,person,0.334215496793464
2007_000363,bird,0.6783989449860104
2007_000364,motorbike,0.5998101687231722
2007_000364,person,0.0554065645324155
2007_000392,horse,0.15671945298797693
2007_000392,person,0.053058206925686816
2007_000452,chair,0.0262584462836352
2007_000452,sofa,0.1253011862103052
2007_000464,cow,0.6416666666666667
2007_000480,aeroplane,0.32136697920589924
2007_000480,person,0.28855435658983225
2007_000491,cow,0.2713289269288173
2007_000504,cow,0.7595106346187099
2007_000504,person,0.05337891737891738
2007_000515,bicycle,0.006772095152705978
2007_000515,car,0.024094645748883457
2007_000515,person,0.009546746781542128
2007_000528,cat,0.6486647992530346
2007_000529,boat,0.14214959177619274
2007_000529,car,0.002874468420223657
2007_000549,cat,0.6966128338797227
2007_000559,bottle,0.04599954996946221
2007_000559,tvmonitor,0.2927707458449163
2007_000572,bicycle,0.005021604577834871
2007_000584,bicycle,0.31357430573096
2007_000584,sofa,0.1732019947287586
2007_000629,person,0.0
2007_000629,train,0.6376960899086865
2007_000636,train,0.4357256658261513
2007_000645,bird,0.7349538641650107
2007_000648,aeroplane,0.03638276220857773
2007_000648,bus,0.5611956494309436
2007_000648,car,0.002791162298742508
2007_000648,person,0.0
2007_000661,chair,0.002759472204453833
2007_000661,pottedplant,0.026457302645730263
2007_000661,sofa,0.08519398761595141
2007_000663,bus,0.3321877038064576
2007_000663,car,0.10171776235495564
2007_000676,sheep,0.7369286926122051
2007_000713,boat,0.706343231562805
2007_000720,dog,0.5010952902519168
