Name,Class,IoU
2007_000032,aeroplane,0.055007670392285775
2007_000032,person,0.013408081446608886
2007_000033,aeroplane,0.5330048519953361
2007_000039,tvmonitor,0.3323854624552499
2007_000042,train,0.6460569731143109
2007_000061,boat,0.159120756451507
2007_000063,chair,0.3373183507941872
2007_000063,dog,0.5385937686522622
2007_000068,bird,0.2894868377207597
2007_000121,tvmonitor,0.3784676792099028
2007_000123,train,0.330126803672934
2007_000129,bicycle,0.3838297380139957
2007_000129,person,0.4659530904741633
2007_000170,bottle,0.009763093300973552
2007_000170,person,0.4174597892401553
2007_000175,sheep,0.7572668532896706
2007_000187,tvmonitor,0.3418728485866426
2007_000241,boat,0.0678533726475192
2007_000243,aeroplane,0.10864479908509644
2007_000250,bottle,0.0568747895354103
2007_000250,diningtable,0.3381754018814309
2007_000256,aeroplane,0.3597307193704656
2007_000323,person,0.3961956588349205
2007_000332,horse,0.23070331923979154
2007_000333,train,0.3454991087344029
2007_000346,bottle,0.3176010930271579
2007_000346,person,0.1762854895229922
2007_000363,bird,0.32938021883098184
2007_000364,motorbike,0.5358170893210896
2007_000364,person,0.05347262972587812
2007_000392,horse,0.393002093390866
2007_000392,person,0.05035772907817414
2007_000452,chair,0.01882155702351441
2007_000452,sofa,0.14335089622733446
2007_000464,cow,0.6610936158030346
2007_000480,aeroplane,0.4171210056035136
2007_000480,person,0.2118765464253158
2007_000491,cow,0.306703442440219
2007_000504,cow,0.4500917340209253
2007_000504,person,0.0423037287850428
2007_000515,bicycle,0.0035053073315230807
2007_000515,car,0.010592121427206464
2007_000515,person,0.015626673648881855
2007_000528,cat,0.474339035769829
2007_000529,boat,0.12438626994280964
2007_000529,car,0.00626837386719794
2007_000549,cat,0.7037638511155896
2007_000559,bottle,0.04537372003188424
2007_000559,tvmonitor,0.2474893690753803
2007_000572,bicycle,0.08516293043679224
2007_000584,bicycle,0.3434630030613007
2007_000584,sofa,0.17952607028953138
2007_000629,person,0.0
2007_000629,train,0.3612786361214704
2007_000636,train,0.3424754828311525
2007_000645,bird,0.4386671273830807
2007_000648,aeroplane,0.04334664341007049
2007_000648,bus,0.3560479071010373
2007_000648,car,0.0016859776876995373
2007_000648,person,0.0
2007_000661,chair,0.0027531703173351127
2007_000661,pottedplant,0.015467559429993803
2007_000661,sofa,0.10318380914457853
2007_000663,bus,0.4579521767069112
2007_000663,car,0.06155382723128
2007_000676,sheep,0.7559933311614894
2007_000713,boat,0.4921237362711181
2007_000720,dog,0.5112048692765251
2007_000727,bus,0.0659589799469235
2007_000727,car,0.059283936742393836
2007_000727,person,0.01871927892747273
2007_000733,motorbike,0.364015449294186
2007_000733,person,0.2331678117134889
2007_000738,aeroplane,0.5729847948344094
2007_000762,bottle,0.16464619616091342
2007_000762,diningtable,0.3202051905099389
2007_000762,person,0.2737934194449293
2007_000768,bus,0.5982307961417362
2007_000783,horse,0.14705539018268834
2007_000783,person,0.08701171311522705
2007_000793,bicycle,0.06540025234824058
2007_000793,bus,0.02781372775595101
2007_000793,person,0.1006373061923333
2007_000799,horse,0.3990498812351544
2007_000799,person,0.1851817678538476
2007_000804,chair,0.10438866283882098
2007_000804,sofa,0.1273198928991467
2007_000822,motorbike,0.31635139663102746
2007_000830,chair,0.046099482088908066
2007_000830,diningtable,0.09892197125256673
2007_000836,horse,0.2888342461160165
2007_000836,person,0.08008024545669105
2007_000837,boat,0.06190118047153461
2007_000847,diningtable,0.2311094587318274
2007_000847,person,0.2355073497930641
2007_000862,boat,0.019813458397006902
2007_000862,person,0.005475058068797699
2007_000876,cat,0.4962242815737142
2007_000904,cow,0.08696173971484808
2007_000904,horse,0.0722230621368869
2007_000904,person,0.1876219845421188
2007_000925,sheep,0.6496934727731698
2007_000999,bottle,0.003479431534836979
2007_000999,person,0.4312770233237927
2007_001027,bicycle,0.00010811979673478214
2007_001027,chair,0.035982731197455126
2007_001027,sofa,0.058545012476805935
2007_001027,tvmonitor,0.0232760330074282
2007_001073,cow,0.4778579567033802
2007_001149,pottedplant,0.05728219656927003
2007_001149,sofa,0.1582629125772102
2007_001149,tvmonitor,0.0632520991924126
2007_001154,pottedplant,0.006316655404412845
2007_001154,sofa,0.17884705122222622
2007_001175,person,0.027094567933710376
2007_001175,tvmonitor,0.040311071333542975
2007_001185,bottle,0.06845637583892618
2007_001185,cat,0.03795290935846955
2007_001185,diningtable,0.3406510129894734
2007_001185,person,0.2924018141945773
2007_001225,dog,0.6280756976699551
2007_001239,dog,0.5230906069330338
2007_001284,person,0.4940805908547844
2007_001288,aeroplane,0.1671499166754968
2007_001289,bird,0.2124671063873415
2007_001299,cow,0.4918340800693742
2007_001311,bicycle,0.16255489450853464
2007_001311,person,0.17854566525939855
2007_001321,car,0.7080875423225942
2007_001340,chair,0.021810876739847898
2007_001340,dog,0.11796501343117342
2007_001340,person,0.22142292569210295
2007_001377,aeroplane,0.010380980253757294
2007_001397,dog,0.30603572043875266
2007_001408,bottle,0.14191535322825827
2007_001408,person,0.28379442597801074
2007_001408,pottedplant,0.007965651658098413
2007_001416,sheep,0.4020370496958097
2007_001420,horse,0.5673052143286659
2007_001420,person,0.053060106081067863
2007_001420,pottedplant,0.04072659829805804
2007_001423,person,0.4422349684260047
2007_001430,diningtable,0.3549933184855234
2007_001430,person,0.3682644712882461
2007_001430,pottedplant,0.061528673998000535
2007_001430,tvmonitor,0.1555010379316852
2007_001439,chair,0.006794935984550461
2007_001439,diningtable,0.4763428477420416
2007_001457,chair,0.021436735148997854
2007_001457,sofa,0.15404697615407134
2007_001458,sofa,0.4359373098402997
2007_001487,boat,0.005005370569280344
2007_001526,person,0.5775361423452366
2007_001568,aeroplane,0.2613876471518305
2007_001585,bottle,0.0013991825382019232
2007_001585,person,0.13249596186646487
2007_001585,sofa,0.1266298105019917
2007_001586,horse,0.14494392955313926
2007_001586,person,0.06075344257616476
2007_001587,bicycle,0.10655324057385912
2007_001594,dog,0.014473167967217404
2007_001594,person,0.034207200733453916
2007_001594,sheep,0.11049329294677628
2007_001595,bus,0.3699505898961379
2007_001602,bottle,0.3283194954799171
2007_001609,chair,0.023923807216510454
2007_001609,diningtable,0.3479300454954713
2007_001630,bicycle,0.12761024807933125
2007_001630,person,0.2680662717001929
2007_001677,chair,0.04673644205827352
2007_001677,diningtable,0.14422869277281888
2007_001678,chair,0.005605905778762498
2007_001678,person,0.15465329991645782
2007_001678,tvmonitor,0.20262035344302254
2007_001698,boat,0.4581633150716109
2007_001704,tvmonitor,0.3928685022651274
2007_001709,motorbike,0.4266433547719508
2007_001709,person,0.190051867219917
2007_001717,chair,0.047408967318867616
2007_001717,person,0.4551642982691334
2007_001717,tvmonitor,0.021524727727191568
2007_001724,horse,0.4504280425728829
2007_001733,sheep,0.17487396363462596
2007_001761,aeroplane,0.6659422666885354
2007_001763,cat,0.2620280726789603
